Country,Currency,Currency code,Currency units per £1,Start date ,End date
Abu Dhabi,Dirham,AED,5.7432,01/01/2015,31/01/2015
Afghanistan,Afghani,AFN,90.0008,01/01/2015,31/01/2015
Albania,Lek,ALL,178.79,01/01/2015,31/01/2015
Algeria,Dinar,DZD,136.513,01/01/2015,31/01/2015
Angola,Readj Kwanza,AOA,159.792,01/01/2015,31/01/2015
Antigua,E Caribbean Dollar,XCD,4.2218,01/01/2015,31/01/2015
Argentina,Peso,ARS,13.3068,01/01/2015,31/01/2015
Armenia,Dram,AMD,703.62,01/01/2015,20/01/2015
Armenia,Dram,AMD,738.84,21/01/2015,31/01/2015
Aruba,Florin,AWG,2.7989,01/01/2015,31/01/2015
Australia,Dollar,AUD,1.9813,01/01/2015,13/01/2015
Australia,Dollar,AUD,1.8744,14/01/2015,31/01/2015
Austria,Euro,EUR,1.2787,01/01/2015,31/01/2015
Azerbaijan,New Manat,AZN,1.2245,01/01/2015,31/01/2015
Bahamas,Dollar,BSD,1.5562,01/01/2015,31/01/2015
Bahrain,Dinar,BHD,0.5895,01/01/2015,31/01/2015
Bangladesh,Taka,BDT,1121.296,01/01/2015,31/01/2015
Barbados,Dollar,BBD,3.1272,01/01/2015,31/01/2015
Belarus,Rouble,BYR,17199.6,01/01/2015,13/01/2015
Belarus,Rouble,BYR,18525.75,14/01/2015,20/01/2015
Belarus,Rouble,BYR,20806,21/01/2015,27/01/2015
Belarus,Rouble,BYR,22671,28/01/2015,31/01/2015
Belgium,Euro,EUR,1.2787,01/01/2015,31/01/2015
Belize,Dollar,BZD,3.1194,01/01/2015,31/01/2015
Benin,CFA Franc,XOF,836.347,01/01/2015,31/01/2015
Bermuda,Dollar (US),BMD,1.5562,01/01/2015,31/01/2015
Bhutan,Ngultrum,BTN,99.0445,01/01/2015,31/01/2015
Bolivia,Boliviano,BOB,10.8045,01/01/2015,31/01/2015
Bosnia- Herzegovinia,Marka,BAM,2.4937,01/01/2015,31/01/2015
Botswana,Pula,BWP,14.8702,01/01/2015,31/01/2015
Brazil,Real,BRL,4.1767,01/01/2015,27/01/2015
Brazil,Real,BRL,3.9326,28/01/2015,31/01/2015
Brunei,Dollar,BND,2.0582,01/01/2015,31/01/2015
Bulgaria,Lev,BGN,2.4936,01/01/2015,31/01/2015
Burkina Faso,CFA Franc,XOF,836.347,01/01/2015,31/01/2015
Burundi,Franc,BIF,2454.86,01/01/2015,31/01/2015
Cambodia,Riel,KHR,6340.4,01/01/2015,31/01/2015
Cameroon Republic,CFA Franc,XAF,836.347,01/01/2015,31/01/2015
Canada,Dollar,CAD,1.8067,01/01/2015,31/01/2015
Cape Verde Islands,Escudo,CVE,138.863,01/01/2015,31/01/2015
Cayman Islands,Dollar,KYD,1.2822,01/01/2015,31/01/2015
Central African Republic,CFA Franc,XAF,836.347,01/01/2015,31/01/2015
Chad,CFA Franc,XAF,836.347,01/01/2015,31/01/2015
Chile,Peso,CLP,955.477,01/01/2015,31/01/2015
China,Yuan,CNY,9.7259,01/01/2015,31/01/2015
Colombia,Peso,COP,3588.24,01/01/2015,31/01/2015
Comoros,Franc,KMF,627.26,01/01/2015,31/01/2015
Congo (Brazaville),CFA Franc,XAF,836.347,01/01/2015,31/01/2015
Congo (DemRep),Congo Fr,CDF,1449.46,01/01/2015,20/01/2015
Congo (DemRep),Congo Fr,CDF,1373.36,21/01/2015,31/01/2015
Cote d’Ivoire,CFA Franc,XOF,836.347,01/01/2015,31/01/2015
Croatia,Kuna,HRK,9.7734,01/01/2015,31/01/2015
Cuba,Peso,CUP,1.5636,01/01/2015,31/01/2015
Cyprus,Euro,EUR,1.2787,01/01/2015,31/01/2015
Czech Republic,Koruna,CZK,35.2685,01/01/2015,31/01/2015
Denmark,Krone,DKK,9.5129,01/01/2015,31/01/2015
Djibouti,Franc,DJF,276.757,01/01/2015,31/01/2015
Dominica,E Caribbean Dollar,XCD,4.2218,01/01/2015,31/01/2015
Dominican Republic,Peso,DOP,69.1737,01/01/2015,31/01/2015
Dubai,Dirham,AED,5.7432,01/01/2015,31/01/2015
Ecuador,Dollar,ECS,1.5562,01/01/2015,31/01/2015
Egypt,Pound,EGP,11.1798,01/01/2015,31/01/2015
El Salvador,Colon,SVC,13.6753,01/01/2015,31/01/2015
Equatorial Guinea,CFA Franc,XAF,836.347,01/01/2015,31/01/2015
Eritrea,Nakfa,ERN,23.454,01/01/2015,31/01/2015
Estonia,Euro,EUR,1.2787,01/01/2015,31/01/2015
Ethiopia,Birr,ETB,31.5449,01/01/2015,31/01/2015
European Community,Euro,EUR,1.2787,01/01/2015,31/01/2015
Fiji Islands,Dollar,FJD,3.1166,01/01/2015,13/01/2015
Fiji Islands,Dollar,FJD,2.9425,14/01/2015,31/01/2015
Finland,Euro,EUR,1.2787,01/01/2015,31/01/2015
Fr. Polynesia,CFP Franc,XPF,152.148,01/01/2015,31/01/2015
France,Euro,EUR,1.2787,01/01/2015,31/01/2015
Gabon,CFA Franc,XAF,836.347,01/01/2015,31/01/2015
Gambia,Dalasi,GMD,67.3913,01/01/2015,31/01/2015
Georgia,Lari,GEL,2.9365,01/01/2015,31/01/2015
Germany,Euro,EUR,1.2787,01/01/2015,31/01/2015
Ghana,Cedi,GHS,5.0212,01/01/2015,31/01/2015
Greece,Euro,EUR,1.2787,01/01/2015,31/01/2015
Grenada,E Caribbean Dollar,XCD,4.2218,01/01/2015,31/01/2015
Guatemala,Quetzal,GTQ,11.9092,01/01/2015,31/01/2015
Guinea Bissau,CFA Franc,XOF,836.347,01/01/2015,31/01/2015
Guinea Republic,Franc,GNF,10992.2,01/01/2015,31/01/2015
Guyana,Dollar,GYD,317.739,01/01/2015,31/01/2015
Haiti,Gourde,HTG,73.0522,01/01/2015,31/01/2015
Honduras,Lempira,HNL,32.8747,01/01/2015,31/01/2015
Hong Kong,Dollar,HKD,12.078,01/01/2015,31/01/2015
Hungary,Forint,HUF,403.73,01/01/2015,31/01/2015
Iceland,Krona,ISK,197.67,01/01/2015,31/01/2015
India,Rupee,INR,99.0445,01/01/2015,27/01/2015
India,Rupee,INR,93.11,28/01/2015,31/01/2015
Indonesia,Rupiah,IDR,19529.4,01/01/2015,31/01/2015
Iran,Rial,IRR,42229.7,01/01/2015,31/01/2015
Iraq,Dinar,IQD,1795.01,01/01/2015,31/01/2015
Ireland,Euro,EUR,1.2787,01/01/2015,31/01/2015
Israel,Shekel,ILS,6.0949,01/01/2015,31/01/2015
Italy,Euro,EUR,1.2787,01/01/2015,31/01/2015
Jamaica,Dollar,JMD,178.735,01/01/2015,31/01/2015
Japan,Yen,JPY,187.4523,01/01/2015,20/01/2015
Japan,Yen,JPY,177.16,21/01/2015,31/01/2015
Jordan,Dinar,JOD,1.1105,01/01/2015,31/01/2015
Kazakhstan,Tenge,KZT,284.747,01/01/2015,31/01/2015
Kenya,Schilling,KES,141.271,01/01/2015,31/01/2015
Korea (North),Won,KPW,2.0327,01/01/2015,31/01/2015
Kuwait,Dinar,KWD,0.4575,01/01/2015,31/01/2015
Kyrgyz Republic,Som,KGS,90.0634,01/01/2015,31/01/2015
Lao People’s Dem Rep,Kip,LAK,12626.1,01/01/2015,31/01/2015
Latvia,Euro,EUR,1.2787,01/01/2015,31/01/2015
Lebanon,Pound,LBP,2365.73,01/01/2015,31/01/2015
Lesotho,Loti,LSL,18.1042,01/01/2015,31/01/2015
Liberia,Dollar (US),LRD,1.5562,01/01/2015,31/01/2015
Libya,Dinar,LYD,1.8682,01/01/2015,31/01/2015
Lithuania,Litas,LTL,4.4024,01/01/2015,31/01/2015
Luxembourg,Euro,EUR,1.2787,01/01/2015,31/01/2015
Macao,Pataca,MOP,12.489,01/01/2015,31/01/2015
Macedonia,Denar,MKD,78.3755,01/01/2015,31/01/2015
Madagascar,Malagasy Ariary,MGA,4034.09,01/01/2015,31/01/2015
Malawi,Kwacha,MWK,753.971,01/01/2015,13/01/2015
Malawi,Kwacha,MWK,698.78,14/01/2015,31/01/2015
Malaysia,Ringgit,MYR,5.4319,01/01/2015,31/01/2015
Maldive Islands,Rufiyaa,MVR,24.0482,01/01/2015,31/01/2015
Mali Republic,CFA Franc,XOF,836.347,01/01/2015,31/01/2015
Malta,Euro,EUR,1.2787,01/01/2015,31/01/2015
Mauritania,Ouguiya,MRO,458.136,01/01/2015,31/01/2015
Mauritius,Rupee,MUR,49.3316,01/01/2015,31/01/2015
Mexico,Mexican Peso,MXN,22.8738,01/01/2015,31/01/2015
Moldova,Leu,MDL,24.3531,01/01/2015,31/01/2015
Mongolia,Tugrik,MNT,2947.39,01/01/2015,31/01/2015
