Country,Currency,Currency code,Currency units per £1,Start date ,End date
Abu Dhabi,Dirham,AED,5.5587,01/02/2015,28/02/2015
Afghanistan,Afghani,AFN,87.29,01/02/2015,28/02/2015
Albania,Lek,ALL,184.15,01/02/2015,28/02/2015
Algeria,Dinar,DZD,133.65,01/02/2015,17/02/2015
Algeria,Dinar,DZD,142.49,18/02/2015,28/02/2015
Angola,Readj Kwanza,AOA,156.68,01/02/2015,28/02/2015
Antigua,E Caribbean Dollar,XCD,4.0882,01/02/2015,28/02/2015
Argentina,Peso,ARS,13.02,01/02/2015,28/02/2015
Armenia,Dram,AMD,727.13,01/02/2015,28/02/2015
Aruba,Florin,AWG,2.6952,01/02/2015,28/02/2015
Australia,Dollar,AUD,1.8385,01/02/2015,10/02/2015
Australia,Dollar,AUD,1.9426,11/02/2015,28/02/2015
Austria,Euro,EUR,1.3008,01/02/2015,28/02/2015
Azerbaijan,New Manat,AZN,1.1877,01/02/2015,28/02/2015
Bahamas,Dollar,BSD,1.512,01/02/2015,28/02/2015
Bahrain,Dinar,BHD,0.5709,01/02/2015,28/02/2015
Bangladesh,Taka,BDT,116.57,01/02/2015,28/02/2015
Barbados,Dollar,BBD,3.0283,01/02/2015,28/02/2015
Belarus,Rouble,BYR,22671,01/02/2015,28/02/2015
Belgium,Euro,EUR,1.3008,01/02/2015,28/02/2015
Belize,Dollar,BZD,3.0242,01/02/2015,28/02/2015
Benin,CFA Franc,XOF,857.713,01/02/2015,28/02/2015
Bermuda,Dollar (US),BMD,1.512,01/02/2015,28/02/2015
Bhutan,Ngultrum,BTN,93.11,01/02/2015,28/02/2015
Bolivia,Boliviano,BOB,10.47,01/02/2015,28/02/2015
Bosnia- Herzegovinia,Marka,BAM,2.5623,01/02/2015,28/02/2015
Botswana,Pula,BWP,14.56,01/02/2015,28/02/2015
Brazil,Real,BRL,3.9326,01/02/2015,17/02/2015
Brazil,Real,BRL,4.331,18/02/2015,28/02/2015
Brunei,Dollar,BND,2.007,01/02/2015,28/02/2015
Bulgaria,Lev,BGN,2.5612,01/02/2015,28/02/2015
Burkina Faso,CFA Franc,XOF,857.713,01/02/2015,28/02/2015
Burundi,Franc,BIF,2343.9,01/02/2015,28/02/2015
Cambodia,Riel,KHR,6149.7,01/02/2015,28/02/2015
Cameroon Republic,CFA Franc,XAF,857.713,01/02/2015,28/02/2015
Canada,Dollar,CAD,1.8251,01/02/2015,17/02/2015
Canada,Dollar,CAD,1.9218,18/02/2015,28/02/2015
Cape Verde Islands,Escudo,CVE,141.3,01/02/2015,28/02/2015
Cayman Islands,Dollar,KYD,1.2416,01/02/2015,28/02/2015
Central African Republic,CFA Franc,XAF,857.713,01/02/2015,28/02/2015
Chad,CFA Franc,XAF,857.713,01/02/2015,28/02/2015
Chile,Peso,CLP,950.22,01/02/2015,28/02/2015
China,Yuan,CNY,9.4108,01/02/2015,28/02/2015
Colombia,Peso,COP,3584.75,01/02/2015,28/02/2015
Comoros,Franc,KMF,641.21,01/02/2015,28/02/2015
Congo (Brazaville),CFA Franc,XAF,857.713,01/02/2015,28/02/2015
Congo (DemRep),Congo Fr,CDF,1382.42,01/02/2015,28/02/2015
Costa Rica,Colon,CRC,812.92,01/02/2015,28/02/2015
Cote d’Ivoire,CFA Franc,XOF,857.713,01/02/2015,28/02/2015
Croatia,Kuna,HRK,10.05,01/02/2015,28/02/2015
Cuba,Peso,CUP,1.514,01/02/2015,28/02/2015
Cyprus,Euro,EUR,1.3008,01/02/2015,28/02/2015
Czech Republic,Koruna,CZK,36.5,01/02/2015,28/02/2015
Denmark,Krone,DKK,9.664,01/02/2015,28/02/2015
Djibouti,Franc,DJF,275.58,01/02/2015,28/02/2015
Dominica,E Caribbean Dollar,XCD,4.0882,01/02/2015,28/02/2015
Dominican Republic,Peso,DOP,67.53,01/02/2015,28/02/2015
Dubai,Dirham,AED,5.5587,01/02/2015,28/02/2015
Ecuador,Dollar,ECS,1.512,01/02/2015,28/02/2015
Egypt,Pound,EGP,10.9,01/02/2015,10/02/2015
Egypt,Pound,EGP,11.46,11/02/2015,28/02/2015
El Salvador,Colon,SVC,13.24,01/02/2015,28/02/2015
Equatorial Guinea,CFA Franc,XAF,857.713,01/02/2015,28/02/2015
Eritrea,Nakfa,ERN,22.86,01/02/2015,28/02/2015
Estonia,Euro,EUR,1.3008,01/02/2015,28/02/2015
Ethiopia,Birr,ETB,30.89,01/02/2015,28/02/2015
European Community,Euro,EUR,1.3008,01/02/2015,28/02/2015
Fiji Islands,Dollar,FJD,2.9213,01/02/2015,10/02/2015
Fiji Islands,Dollar,FJD,3.0887,11/02/2015,28/02/2015
Finland,Euro,EUR,1.3008,01/02/2015,28/02/2015
Fr. Polynesia,CFP Franc,XPF,156.03,01/02/2015,28/02/2015
France,Euro,EUR,1.3008,01/02/2015,28/02/2015
Gabon,CFA Franc,XAF,857.713,01/02/2015,28/02/2015
Gambia,Dalasi,GMD,66.02,01/02/2015,28/02/2015
Georgia,Lari,GEL,2.9501,01/02/2015,17/02/2015
Georgia,Lari,GEL,3.1119,18/02/2015,28/02/2015
Germany,Euro,EUR,1.3008,01/02/2015,28/02/2015
Ghana,Cedi,GHS,4.8281,01/02/2015,17/02/2015
Ghana,Cedi,GHS,5.19594,18/02/2015,28/02/2015
Greece,Euro,EUR,1.3008,01/02/2015,28/02/2015
Grenada,E Caribbean Dollar,XCD,4.0882,01/02/2015,28/02/2015
Guatemala,Quetzal,GTQ,11.58,01/02/2015,28/02/2015
Guinea Bissau,CFA Franc,XOF,857.713,01/02/2015,28/02/2015
Guinea Republic,Franc,GNF,10722.95,01/02/2015,28/02/2015
Guyana,Dollar,GYD,311.46,01/02/2015,28/02/2015
Haiti,Gourde,HTG,70.41,01/02/2015,28/02/2015
Honduras,Lempira,HNL,31.84,01/02/2015,28/02/2015
Hong Kong,Dollar,HKD,11.72,01/02/2015,28/02/2015
Hungary,Forint,HUF,418.04,01/02/2015,28/02/2015
Iceland,Krona,ISK,199.87,01/02/2015,28/02/2015
India,Rupee,INR,93.11,01/02/2015,28/02/2015
Indonesia,Rupiah,IDR,19082.65,01/02/2015,28/02/2015
Iran,Rial,IRR,41445.3,01/02/2015,28/02/2015
Iraq,Dinar,IQD,1720.1,01/02/2015,28/02/2015
Ireland,Euro,EUR,1.3008,01/02/2015,28/02/2015
Israel,Shekel,ILS,5.9437,01/02/2015,28/02/2015
Italy,Euro,EUR,1.3008,01/02/2015,28/02/2015
Jamaica,Dollar,JMD,174.19,01/02/2015,28/02/2015
Japan,Yen,JPY,177.32,01/02/2015,28/02/2015
Jordan,Dinar,JOD,1.0738,01/02/2015,28/02/2015
Kazakhstan,Tenge,KZT,278.8,01/02/2015,28/02/2015
Kenya,Schilling,KES,138.62,01/02/2015,28/02/2015
Korea (North),Won,KPW,2.06087,01/02/2015,28/02/2015
Kuwait,Dinar,KWD,0.445,01/02/2015,28/02/2015
Kyrgyz Republic,Som,KGS,91.16,01/02/2015,28/02/2015
Lao People’s Dem Rep,Kip,LAK,12306.3,01/02/2015,28/02/2015
Latvia,Euro,EUR,1.3008,01/02/2015,28/02/2015
Lebanon,Pound,LBP,2287.12,01/02/2015,28/02/2015
Lesotho,Loti,LSL,17.5,01/02/2015,28/02/2015
Liberia,Dollar (US),LRD,1.512,01/02/2015,28/02/2015
Libya,Dinar,LYD,1.8208,01/02/2015,03/02/2015
Libya,Dinar,LYD,2.0599,04/02/2015,10/02/2015
Libya,Dinar,LYD,2.0569,11/02/2015,28/02/2015
Lithuania,Euro,EUR,1.3008,01/02/2015,28/02/2015
Luxembourg,Euro,EUR,1.3008,01/02/2015,28/02/2015
Macao,Pataca,MOP,12.09,01/02/2015,28/02/2015
Macedonia,Denar,MKD,80.4,01/02/2015,28/02/2015
Madagascar,Malagasy Ariary,MGA,3989.8,01/02/2015,10/02/2015
Madagascar,Malagasy Ariary,MGA,4222.25,11/02/2015,28/02/2015
Malawi,Kwacha,MWK,691.59,01/02/2015,28/02/2015
Malaysia,Ringgit,MYR,5.4639,01/02/2015,28/02/2015
Maldive Islands,Rufiyaa,MVR,23.24,01/02/2015,28/02/2015
Mali Republic,CFA Franc,XOF,857.713,01/02/2015,28/02/2015
Malta,Euro,EUR,1.3008,01/02/2015,28/02/2015
Mauritania,Ouguiya,MRO,438.35,01/02/2015,28/02/2015
Mauritius,Rupee,MUR,48.39,01/02/2015,24/02/2015
Mauritius,Rupee,MUR,51.96,25/02/2015,28/02/2015
