Country,Currency,Currency code,Currency units per £1 ,Start date,End date,,
Abu Dhabi,Dirham,AED,5.961,01/10/2014,31/10/2014,,
Afghanistan,Afghani,AFN,91.0934,01/10/2014,31/10/2014,,
Albania,Lek,ALL,175.768,01/10/2014,31/10/2014,,
Algeria,Dinar,DZD,131.404,01/10/2014,31/10/2014,,
Angola,Readj Kwanza,AOA,158.768,01/10/2014,31/10/2014,,
Antigua,E Caribbean Dollar,XCD,4.3819,01/10/2014,31/10/2014,,
Argentina,Peso,ARS,13.7289,01/10/2014,31/10/2014,,
Armenia,Dram,AMD,661.332,01/10/2014,31/10/2014,,
Aruba,Florin,AWG,2.905,01/10/2014,31/10/2014,,
Australia,Dollar,AUD,1.8043,01/10/2014,31/10/2014,,
Austria,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Azerbaijan,New Manat,AZN,1.271,01/10/2014,31/10/2014,,
Bahamas,Dollar,BSD,1.6325,01/10/2014,31/10/2014,,
Bahrain,Dinar,BHD,0.6119,01/10/2014,31/10/2014,,
Bangladesh,Taka,BDT,125.572,01/10/2014,31/10/2014,,
Barbados,Dollar,BBD,3.2458,01/10/2014,31/10/2014,,
Belarus,Rouble,BYR,17056.7,01/10/2014,31/10/2014,,
Belgium,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Belize,Dollar,BZD,3.2377,01/10/2014,31/10/2014,,
Benin,CFA Franc,XOF,822.811,01/10/2014,31/10/2014,,
Bermuda,Dollar,BMD,1.6325,01/10/2014,31/10/2014,,
Bhutan,Ngultrum,BTN,99.4265,01/10/2014,31/10/2014,,
Bolivia,Boliviano,BOB,11.2143,01/10/2014,31/10/2014,,
Bosnia- Herzegovinia,Marka,BAM,2.4533,01/10/2014,31/10/2014,,
Botswana,Pula,BWP,14.7403,01/10/2014,31/10/2014,,
Brazil,Real,BRL,3.8265,01/10/2014,31/10/2014,,
Brunei,Dollar,BND,2.0503,01/10/2014,31/10/2014,,
Bulgaria,Lev,BGN,2.4537,01/10/2014,31/10/2014,,
Burkina Faso,CFA Franc,XOF,822.811,01/10/2014,31/10/2014,,
Burundi,Franc,BIF,2515.17,01/10/2014,31/10/2014,,
Cambodia,Riel,KHR,6572.75,01/10/2014,31/10/2014,,
Cameroon Republic,CFA Franc,XAF,822.811,01/10/2014,31/10/2014,,
Canada,Dollar,CAD,1.7878,01/10/2014,31/10/2014,,
Cape Verde Islands,Escudo,CVE,136.031,01/10/2014,31/10/2014,,
Cayman Islands,Dollar,KYD,1.3308,01/10/2014,31/10/2014,,
Central African Republic,CFA Franc,XAF,822.811,01/10/2014,31/10/2014,,
Chad,CFA Franc,XAF,822.811,01/10/2014,31/10/2014,,
Chile,Peso,CLP,962.136,01/10/2014,31/10/2014,,
China,Yuan,CNY,9.9559,01/10/2014,31/10/2014,,
Colombia,Peso,COP,3240.44,01/10/2014,31/10/2014,,
Comoros,Franc,KMF,617.108,01/10/2014,31/10/2014,,
Congo,CFA Franc,XAF,822.811,01/10/2014,31/10/2014,,
Congo,Congo Fr,CDF,1499.56,01/10/2014,31/10/2014,,
Costa Rica,Colon,CRC,876.067,01/10/2014,31/10/2014,,
Cote d'Ivoire,CFA Franc,XOF,822.811,01/10/2014,31/10/2014,,
Croatia,Kuna,HRK,9.562,01/10/2014,31/10/2014,,
Cuba,Peso,CUP,1.6229,01/10/2014,31/10/2014,,
Cyprus,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Czech Republic,Koruna,CZK,34.6111,01/10/2014,31/10/2014,,
Denmark,Krone,DKK,9.3788,01/10/2014,31/10/2014,,
Djibouti,Franc,DJF,287.253,01/10/2014,31/10/2014,,
Dominica,E Caribbean Dollar,XCD,4.3819,01/10/2014,31/10/2014,,
Dominican Republic,Peso,DOP,70.58,01/10/2014,31/10/2014,,
Dubai,Dirham,AED,5.961,01/10/2014,31/10/2014,,
Ecuador,Dollar,ECS,1.6325,01/10/2014,31/10/2014,,
Egypt,Pound,EGP,11.6038,01/10/2014,31/10/2014,,
El Salvador,Colon,SVC,14.1955,01/10/2014,31/10/2014,,
Equatorial Guinea,CFA Franc,XAF,822.811,01/10/2014,31/10/2014,,
Eritrea,Nakfa,ERN,24.3435,01/10/2014,31/10/2014,,
Estonia,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Ethiopia,Birr,ETB,32.3153,01/10/2014,31/10/2014,,
European Community,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
Fiji Islands,Dollar,FJD,3.0685,01/10/2014,31/10/2014,,
Finland,Euro,EUR,1.2597,01/10/2014,31/10/2014,,
