Country,Currency,Currency code,Currency units per £1,Start date,End date
Argentina,Peso ,ARS,13.6362,01/11/2014,30/11/2014
Australia,Dollar ,AUD,1.8235,01/11/2014,30/11/2014
Austria,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Belgium,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Brazil,Real ,BRL,3.9709,01/11/2014,30/11/2014
Canada,Dollar,CAD,1.7993,01/11/2014,30/11/2014
Cyprus,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Denmark,Krone ,DKK,9.4361,01/11/2014,30/11/2014
Estonia,Euro,EUR,1.2673,01/11/2014,30/11/2014
Finland,Euro ,EUR,1.2673,01/11/2014,30/11/2014
France,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Germany,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Greece,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Hong Kong,Dollar ,HKD,12.4514,01/11/2014,30/11/2014
India,Rupee ,INR,98.2543,01/11/2014,30/11/2014
Ireland,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Israel,Shekel ,ILS,6.0238,01/11/2014,30/11/2014
Italy,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Japan,Yen ,JPY,172.118,01/11/2014,11/11/2014
Japan,Yen ,JPY,182.931,12/11/2014,30/11/2014
Latvia,Euro,EUR,1.2673,01/11/2014,30/11/2014
Luxembourg,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Malaysia,Ringgit ,MYR,5.2378,01/11/2014,30/11/2014
Malta,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Mexico,Mexican Peso ,MXN,21.7545,01/11/2014,30/11/2014
Netherland,Euro ,EUR,1.2673,01/11/2014,30/11/2014
New Zealand,Dollar ,NZD,2.019,01/11/2014,30/11/2014
Norway,Norwegian Krone ,NOK,10.5995,01/11/2014,30/11/2014
Philippines,Peso ,PHP,71.8488,01/11/2014,30/11/2014
Portugal,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Saudi Arabia,Riyal ,SAR,6.0224,01/11/2014,30/11/2014
Singapore,Dollar ,SGD,2.0418,01/11/2014,30/11/2014
Slovakia,Euro,EUR,1.2673,01/11/2014,30/11/2014
Slovenia,Euro ,EUR,1.2673,01/11/2014,30/11/2014
South Africa,Rand ,ZAR,17.6793,01/11/2014,30/11/2014
South Korea,Won ,KRW,1687.77,01/11/2014,30/11/2014
Spain,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Sweden,Krona ,SEK,11.6583,01/11/2014,30/11/2014
Switzerland,Franc ,CHF,1.5288,01/11/2014,30/11/2014
Taiwan,Dollar ,TWD,48.7644,01/11/2014,30/11/2014
Thailand,Baht ,THB,51.8841,01/11/2014,30/11/2014
USA,Dollar ,USD,1.6052,01/11/2014,30/11/2014
European Community,Euro ,EUR,1.2673,01/11/2014,30/11/2014
Abu Dhabi,Dirham ,AED,5.913,01/11/2014,30/11/2014
Afghanistan,Afghani ,AFN,92.7889,01/11/2014,30/11/2014
Albania,Lek ,ALL,175.911,01/11/2014,30/11/2014
Algeria,Dinar ,DZD,134.23,01/11/2014,30/11/2014
Angola,Readj Kwanza ,AOA,159.03,01/11/2014,30/11/2014
Antigua,E Caribbean Dollar ,XCD,4.3465,01/11/2014,30/11/2014
Armenia,Dram ,AMD,657.12,01/11/2014,30/11/2014
Aruba,Florin,AWG,2.8816,01/11/2014,30/11/2014
Azerbaijan,New Manat ,AZN,1.2607,01/11/2014,30/11/2014
Bahamas,Dollar,BSD,1.6052,01/11/2014,30/11/2014
Bahrain,Dinar ,BHD,0.6069,01/11/2014,30/11/2014
Bangladesh,Taka ,BDT,124.558,01/11/2014,30/11/2014
Barbados,Dollar ,BBD,3.2196,01/11/2014,30/11/2014
Belarus,Rouble ,BYR,17184.6,01/11/2014,30/11/2014
Belize,Dollar ,BZD,3.2116,01/11/2014,30/11/2014
Benin,CFA Franc ,XOF,827.068,01/11/2014,30/11/2014
Bermuda,Dollar (US) ,BMD,1.6052,01/11/2014,30/11/2014
Bhutan,Ngultrum ,BTN,98.2543,01/11/2014,30/11/2014
Bolivia,Boliviano ,BOB,11.1238,01/11/2014,30/11/2014
Bosnia- Herzegovinia,Marka ,BAM,2.466,01/11/2014,30/11/2014
Botswana,Pula ,BWP,14.7351,01/11/2014,30/11/2014
Brunei,Dollar ,BND,2.0527,01/11/2014,30/11/2014
Bulgaria,Lev ,BGN,2.4654,01/11/2014,30/11/2014
Burkina Faso,CFA Franc ,XOF,827.068,01/11/2014,30/11/2014
Burundi,Franc ,BIF,2527.39,01/11/2014,30/11/2014
Cambodia,Riel ,KHR,6551.89,01/11/2014,30/11/2014
Cameroon Republic,CFA Franc ,XAF,827.068,01/11/2014,30/11/2014
Cape Verde Islands,Escudo ,CVE,137.074,01/11/2014,30/11/2014
Cayman Islands,Dollar ,KYD,1.3201,01/11/2014,30/11/2014
Central African Republic,CFA Franc ,XAF,827.068,01/11/2014,30/11/2014
Chad,CFA Franc ,XAF,827.068,01/11/2014,30/11/2014
Chile,Peso ,CLP,945.532,01/11/2014,30/11/2014
China,Yuan,CNY,9.8584,01/11/2014,30/11/2014
Colombia,Peso ,COP,3327.46,01/11/2014,30/11/2014
Comoros,Franc ,KMF,620.301,01/11/2014,30/11/2014
Congo (Brazaville),CFA Franc ,XAF,827.068,01/11/2014,30/11/2014
Congo (DemRep),Congo Fr ,CDF,1481.82,01/11/2014,30/11/2014
Costa Rica,Colon ,CRC,868.955,01/11/2014,30/11/2014
Cote d'Ivoire,CFA Franc,XOF,827.068,01/11/2014,30/11/2014
Croatia,Kuna ,HRK,9.6639,01/11/2014,30/11/2014
Cuba,Peso ,CUP,1.6098,01/11/2014,30/11/2014
Czech Republic,Koruna ,CZK,34.6717,01/11/2014,30/11/2014
Djibouti,Franc ,DJF,284.935,01/11/2014,30/11/2014
Dominica,E Caribbean Dollar ,XCD,4.3465,01/11/2014,30/11/2014
Dominican Republic,Peso ,DOP,70.2678,01/11/2014,30/11/2014
Dubai,Dirham ,AED,5.913,01/11/2014,30/11/2014
Ecuador,Dollar ,ECS,1.6052,01/11/2014,30/11/2014
Egypt,Pound ,EGP,11.5102,01/11/2014,30/11/2014
El Salvador,Colon ,SVC,14.0809,01/11/2014,30/11/2014
Equatorial Guinea,CFA Franc ,XAF,827.068,01/11/2014,30/11/2014
Eritrea,Nakfa ,ERN,24.147,01/11/2014,30/11/2014
Ethiopia,Birr ,ETB,32.2475,01/11/2014,30/11/2014
Fiji Islands,Dollar ,FJD,3.1012,01/11/2014,30/11/2014
Fr. Polynesia,CFP Franc,XPF,150.46,01/11/2014,30/11/2014
Gabon,CFA Franc ,XAF,827.068,01/11/2014,30/11/2014
Gambia,Dalasi ,GMD,63.7482,01/11/2014,04/11/2014
Gambia,Dalasi ,GMD,69.3296,05/11/2014,30/11/2014
Georgia,Lari ,GEL,2.8175,01/11/2014,30/11/2014
Ghana,Cedi ,GHS,5.1643,01/11/2014,30/11/2014
