Country,Currency ,Currency Code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.9239,01/01/2018,31/01/2018
Albania,Lek,ALL,150.06,01/01/2018,31/01/2018
Algeria,Dinar,DZD,154.39,01/01/2018,31/01/2018
Angola,Readj Kwanza,AOA,222.43,01/01/2018,31/01/2018
Antigua,E Caribbean Dollar,XCD,3.6196,01/01/2018,31/01/2018
Argentina,Peso,ARS,23.81,01/01/2018,31/01/2018
Armenia,Dram,AMD,645.55,01/01/2018,31/01/2018
Aruba,Florin,AWG,2.3997,01/01/2018,31/01/2018
Australia,Dollar,AUD,1.7489,01/01/2018,31/01/2018
Azerbaijan,New Manat,AZN,2.265,01/01/2018,31/01/2018
Bahamas,Dollar,BSD,1.3406,01/01/2018,31/01/2018
Bahrain,Dinar,BHD,0.5054,01/01/2018,31/01/2018
Bangladesh,Taka,BDT,111.5,01/01/2018,31/01/2018
Barbados,Dollar,BBD,2.6812,01/01/2018,31/01/2018
Belarus,Rouble,BYN,2.6913,01/01/2018,31/01/2018
Belize,Dollar,BZD,2.6795,01/01/2018,31/01/2018
Benin,CFA Franc,XOF,740.06,01/01/2018,31/01/2018
Bermuda,Dollar (US),BMD,1.3406,01/01/2018,31/01/2018
Bhutan,Ngultrum,BTN,85.91,01/01/2018,31/01/2018
Bolivia,Boliviano,BOB,9.2636,01/01/2018,31/01/2018
Bosnia- Herzegovinia,Marka,BAM,2.2066,01/01/2018,31/01/2018
Botswana,Pula,BWP,13.37,01/01/2018,31/01/2018
Brazil,Real,BRL,4.4137,01/01/2018,31/01/2018
Brunei,Dollar,BND,1.8031,01/01/2018,31/01/2018
Bulgaria,Lev,BGN,2.2067,01/01/2018,31/01/2018
Burkina Faso,CFA Franc,XOF,740.06,01/01/2018,31/01/2018
Burundi,Franc,BIF,2354.47,01/01/2018,31/01/2018
Cambodia,Riel,KHR,5405.33,01/01/2018,31/01/2018
Cameroon Republic,CFA Franc,XAF,740.06,01/01/2018,31/01/2018
Canada,Dollar,CAD,1.7231,01/01/2018,31/01/2018
Cape Verde Islands,Escudo,CVE,125.17,01/01/2018,31/01/2018
Cayman Islands,Dollar,KYD,1.0993,01/01/2018,31/01/2018
Central African Republic,CFA Franc,XAF,740.06,01/01/2018,31/01/2018
Chad,CFA Franc,XAF,740.06,01/01/2018,31/01/2018
Chile,Peso,CLP,832.28,01/01/2018,31/01/2018
China,Yuan,CNY,8.8212,01/01/2018,31/01/2018
Colombia,Peso,COP,3964.53,01/01/2018,31/01/2018
Comoros,Franc,KMF,555.04,01/01/2018,31/01/2018
Congo (Brazaville),CFA Franc,XAF,740.06,01/01/2018,31/01/2018
Congo (DemRep),Congo Fr,CDF,2138.94,01/01/2018,31/01/2018
Costa Rica,Colon,CRC,758.97,01/01/2018,31/01/2018
Cote d'Ivoire,CFA Franc,XOF,740.06,01/01/2018,31/01/2018
Croatia,Kuna,HRK,8.5111,01/01/2018,31/01/2018
Cuba,Peso,CUP,1.3406,01/01/2018,31/01/2018
Czech Republic,Koruna,CZK,28.94,01/01/2018,31/01/2018
Denmark,Krone,DKK,8.399,01/01/2018,31/01/2018
Djibouti,Franc,DJF,238.25,01/01/2018,31/01/2018
Dominica,E Caribbean Dollar,XCD,3.6196,01/01/2018,31/01/2018
Dominican Republic,Peso,DOP,64.85,01/01/2018,31/01/2018
Dubai,Dirham,AED,4.9239,01/01/2018,31/01/2018
Ecuador,Dollar,ECS,1.3406,01/01/2018,31/01/2018
Egypt,Pound,EGP,23.96,01/01/2018,31/01/2018
El Salvador,Colon,SVC,11.72,01/01/2018,31/01/2018
Equatorial Guinea,CFA Franc,XAF,740.06,01/01/2018,31/01/2018
Eritrea,Nakfa,ERN,20.1,01/01/2018,31/01/2018
Ethiopia,Birr,ETB,36.62,01/01/2018,31/01/2018
Eurozone,Euro,EUR,1.1282,01/01/2018,31/01/2018
Fiji Islands,Dollar,FJD,2.7556,01/01/2018,31/01/2018
Fr. Polynesia,CFP Franc,XPF,134.63,01/01/2018,31/01/2018
Gabon,CFA Franc,XAF,740.06,01/01/2018,31/01/2018
Gambia,Dalasi,GMD,63.88,01/01/2018,31/01/2018
Georgia,Lari,GEL,3.4051,01/01/2018,31/01/2018
Ghana,Cedi,GHS,6.0327,01/01/2018,31/01/2018
Grenada,E Caribbean Dollar,XCD,3.6196,01/01/2018,31/01/2018
Guatemala,Quetzal,GTQ,9.8421,01/01/2018,31/01/2018
Guinea Bissau,CFA Franc,XOF,740.06,01/01/2018,31/01/2018
Guinea Republic,Franc,GNF,12104.35,01/01/2018,31/01/2018
Guyana,Dollar,GYD,278.07,01/01/2018,31/01/2018
Haiti,Gourde,HTG,85.99,01/01/2018,31/01/2018
Honduras,Lempira,HNL,31.57,01/01/2018,31/01/2018
Hong Kong,Dollar,HKD,10.48,01/01/2018,31/01/2018
Hungary,Forint,HUF,353.09,01/01/2018,31/01/2018
Iceland,Krona,ISK,141.07,01/01/2018,31/01/2018
India,Rupee,INR,85.91,01/01/2018,31/01/2018
Indonesia,Rupiah,IDR,18202.13,01/01/2018,31/01/2018
Iraq,Dinar,IQD,1585.93,01/01/2018,31/01/2018
Israel,Shekel,ILS,4.6853,01/01/2018,31/01/2018
Jamaica,Dollar,JMD,167.4,01/01/2018,31/01/2018
Japan,Yen,JPY,151.89,01/01/2018,31/01/2018
Jordan,Dinar,JOD,0.9505,01/01/2018,31/01/2018
Kazakhstan,Tenge,KZT,450.28,01/01/2018,31/01/2018
Kenya,Schilling,KES,138.14,01/01/2018,31/01/2018
Kuwait,Dinar,KWD,0.4049,01/01/2018,31/01/2018
Kyrgyz Republic,Som,KGS,93.46,01/01/2018,31/01/2018
Lao People's Dem Rep,Kip,LAK,11157.88,01/01/2018,31/01/2018
Lebanon,Pound,LBP,2027.85,01/01/2018,31/01/2018
Lesotho,Loti,LSL,16.91,01/01/2018,31/01/2018
Liberia,Dollar (US),LRD,1.3406,01/01/2018,31/01/2018
Libya,Dinar,LYD,1.8232,01/01/2018,31/01/2018
Macao,Pataca,MOP,10.8,01/01/2018,31/01/2018
Macedonia,Denar,MKD,69.47,01/01/2018,31/01/2018
Madagascar,Malagasy Ariary,MGA,4340.22,01/01/2018,31/01/2018
Malawi,Kwacha,MWK,972.47,01/01/2018,31/01/2018
Malaysia,Ringgit,MYR,5.4616,01/01/2018,31/01/2018
Maldive Islands,Rufiyaa,MVR,20.64,01/01/2018,31/01/2018
Mali Republic,CFA Franc,XOF,740.06,01/01/2018,31/01/2018
Mauritania,Ouguiya,MRO,475.06,01/01/2018,31/01/2018
Mauritius,Rupee,MUR,44.97,01/01/2018,31/01/2018
Mexico,Mexican Peso,MXN,25.78,01/01/2018,31/01/2018
Moldova,Leu,MDL,23.02,01/01/2018,31/01/2018
Mongolia,Tugrik,MNT,3251.64,01/01/2018,31/01/2018
Montserrat,E Caribbean Dollar,XCD,3.6196,01/01/2018,31/01/2018
Morocco,Dirham,MAD,12.61,01/01/2018,31/01/2018
Mozambique,Metical,MZN,78.94,01/01/2018,31/01/2018
Myanmar,Kyat,MMK,1827.51,01/01/2018,31/01/2018
Nepal,Rupee,NPR,137.46,01/01/2018,31/01/2018
New Caledonia,CFP Franc,XPF,134.63,01/01/2018,31/01/2018
New Zealand,Dollar,NZD,1.9234,01/01/2018,31/01/2018
Nicaragua,Gold Cordoba,NIO,41.21,01/01/2018,31/01/2018
Niger Republic,CFA Franc,XOF,740.06,01/01/2018,31/01/2018
Nigeria,Naira,NGN,482.61,01/01/2018,31/01/2018
Norway,Norwegian Krone,NOK,11.23,01/01/2018,31/01/2018
Oman,Rial,OMR,0.5161,01/01/2018,31/01/2018
Pakistan,Rupee,PKR,148,01/01/2018,31/01/2018
Panama,Balboa,PAB,1.3406,01/01/2018,31/01/2018
Papua New Guinea,Kina,PGK,4.3135,01/01/2018,31/01/2018
Paraguay,Guarani,PYG,7554.26,01/01/2018,31/01/2018
Peru,New Sol,PEN,4.3865,01/01/2018,31/01/2018
Philippines,Peso,PHP,67.42,01/01/2018,31/01/2018
Poland,Zloty,PLN,4.7384,01/01/2018,31/01/2018
Qatar,Riyal,QAR,4.8812,01/01/2018,31/01/2018
Romania,New Leu,RON,5.2195,01/01/2018,31/01/2018
Russia,Rouble,RUB,78.64,01/01/2018,31/01/2018
Rwanda,Franc,RWF,1143.69,01/01/2018,31/01/2018
Saotome & Principe,Dobra,STD,27911.46,01/01/2018,31/01/2018
Saudi Arabia,Riyal,SAR,5.0274,01/01/2018,31/01/2018
Senegal,CFA Franc,XOF,740.06,01/01/2018,31/01/2018
Serbia,Dinar,RSD,134.57,01/01/2018,31/01/2018
Seychelles,Rupee,SCR,18.25,01/01/2018,31/01/2018
Sierra Leone,Leone,SLL,10279.11,01/01/2018,31/01/2018
Singapore,Dollar,SGD,1.8031,01/01/2018,31/01/2018
Soloman Islands,Dollar,SBD,10.41,01/01/2018,31/01/2018
Somali Republic,Schilling,SOS,797.66,01/01/2018,31/01/2018
South Africa,Rand,ZAR,16.91,01/01/2018,31/01/2018
South Korea,Won,KRW,1449.19,01/01/2018,31/01/2018
Sri Lanka,Rupee,LKR,205.24,01/01/2018,31/01/2018
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.6196,01/01/2018,31/01/2018
St Lucia,E Caribbean Dollar,XCD,3.6196,01/01/2018,31/01/2018
St Vincent,E Caribbean Dollar,XCD,3.6196,01/01/2018,31/01/2018
Sudan Republic,Pound,SDG,8.9262,01/01/2018,31/01/2018
Surinam,Dollar,SRD,9.9983,01/01/2018,31/01/2018
Swaziland,Lilangeni,SZL,16.91,01/01/2018,31/01/2018
Sweden,Krona,SEK,11.22,01/01/2018,31/01/2018
Switzerland,Franc,CHF,1.32,01/01/2018,31/01/2018
Taiwan,Dollar,TWD,40.2,01/01/2018,31/01/2018
Tanzania,Schilling,TZS,3008.99,01/01/2018,31/01/2018
Thailand,Baht,THB,43.87,01/01/2018,31/01/2018
Togo Republic,CFA Franc,XOF,740.06,01/01/2018,31/01/2018
Tonga Islands,Pa'anga (AUS),TOP,1.7489,01/01/2018,31/01/2018
Trinidad/Tobago,Dollar,TTD,9.077,01/01/2018,31/01/2018
Tunisia,Dinar,TND,3.3252,01/01/2018,31/01/2018
Turkey,Turkish  Lira,TRY,5.1241,01/01/2018,31/01/2018
Turkmenistan,New Manat,TMT,4.7055,01/01/2018,31/01/2018
UAE,Dirham,AED,4.9239,01/01/2018,31/01/2018
Uganda,Schilling,UGX,4846.29,01/01/2018,31/01/2018
Ukraine,Hryvnia,UAH,37.32,01/01/2018,31/01/2018
Uruguay,Peso,UYU,38.5,01/01/2018,31/01/2018
USA,Dollar,USD,1.3406,01/01/2018,31/01/2018
Uzbekistan,Sum,UZS,10861.1,01/01/2018,31/01/2018
Vanuatu,Vatu,VUV,146.99,01/01/2018,31/01/2018
Venezuela,Bolivar Fuerte,VEF,13.51,01/01/2018,31/01/2018
Vietnam,Dong,VND,30449.92,01/01/2018,31/01/2018
Wallis & Futuna Islands,CFP Franc,XPF,134.63,01/01/2018,31/01/2018
Western Samoa,Tala,WST,3.3871,01/01/2018,31/01/2018
Yemen (Rep of),Rial,YER,335.5,01/01/2018,31/01/2018
Zambia,Kwacha,ZMW,13.1,01/01/2018,31/01/2018
Zimbabwe,Dollar,ZWL,485.16,01/01/2018,31/01/2018
