Country,Currency,Currency code,Currency units per ?1,Start date,End date
Abu Dhabi,Dirham,AED,5.1345,01/03/2018,31/03/2018
Albania,Lek,ALL,149.71,01/03/2018,31/03/2018
Algeria,Dinar,DZD,159.42,01/03/2018,31/03/2018
Angola,Readj Kwanza,AOA,293.35,01/03/2018,31/03/2018
Antigua,E Caribbean Dollar,XCD,3.7742,01/03/2018,31/03/2018
Argentina,Peso,ARS,27.79,01/03/2018,31/03/2018
Armenia,Dram,AMD,671.61,01/03/2018,31/03/2018
Aruba,Florin,AWG,2.5022,01/03/2018,31/03/2018
Australia,Dollar,AUD,1.782,01/03/2018,31/03/2018
Azerbaijan,New Manat,AZN,2.3599,01/03/2018,31/03/2018
Bahamas,Dollar,BSD,1.3979,01/03/2018,31/03/2018
Bahrain,Dinar,BHD,0.527,01/03/2018,31/03/2018
Bangladesh,Taka,BDT,116.65,01/03/2018,31/03/2018
Barbados,Dollar,BBD,2.7957,01/03/2018,31/03/2018
Belarus,Rouble,BYN,2.7349,01/03/2018,31/03/2018
Belize,Dollar,BZD,2.794,01/03/2018,31/03/2018
Benin,CFA Franc,XOF,744.29,01/03/2018,31/03/2018
Bermuda,Dollar (US),BMD,1.3979,01/03/2018,31/03/2018
Bhutan,Ngultrum,BTN,90.5,01/03/2018,31/03/2018
Bolivia,Boliviano,BOB,9.6592,01/03/2018,31/03/2018
Bosnia- Herzegovinia,Marka,BAM,2.2192,01/03/2018,31/03/2018
Botswana,Pula,BWP,13.26,01/03/2018,31/03/2018
Brazil,Real,BRL,4.5523,01/03/2018,31/03/2018
Brunei,Dollar,BND,1.8454,01/03/2018,31/03/2018
Bulgaria,Lev,BGN,2.2193,01/03/2018,31/03/2018
Burkina Faso,CFA Franc,XOF,744.29,01/03/2018,31/03/2018
Burundi,Franc,BIF,2459.59,01/03/2018,31/03/2018
Cambodia,Riel,KHR,5606.81,01/03/2018,31/03/2018
Cameroon Republic,CFA Franc,XAF,744.29,01/03/2018,31/03/2018
Canada,Dollar,CAD,1.7702,01/03/2018,31/03/2018
Cape Verde Islands,Escudo,CVE,125.45,01/03/2018,31/03/2018
Cayman Islands,Dollar,KYD,1.1462,01/03/2018,31/03/2018
Central African Republic,CFA Franc,XAF,744.29,01/03/2018,31/03/2018
Chad,CFA Franc,XAF,744.29,01/03/2018,31/03/2018
Chile,Peso,CLP,831.13,01/03/2018,31/03/2018
China,Yuan,CNY,8.8682,01/03/2018,31/03/2018
Colombia,Peso,COP,4016.74,01/03/2018,31/03/2018
Comoros,Franc,KMF,558.22,01/03/2018,31/03/2018
Congo (Brazaville),CFA Franc,XAF,744.29,01/03/2018,31/03/2018
Congo (DemRep),Congo Fr,CDF,2243.56,01/03/2018,31/03/2018
Costa Rica,Colon,CRC,796.17,01/03/2018,31/03/2018
Cote d'Ivoire,CFA Franc,XOF,744.29,01/03/2018,31/03/2018
Croatia,Kuna,HRK,8.4447,01/03/2018,31/03/2018
Cuba,Peso,CUP,1.3979,01/03/2018,31/03/2018
Czech Republic,Koruna,CZK,28.74,01/03/2018,31/03/2018
Denmark,Krone,DKK,8.4505,01/03/2018,31/03/2018
Djibouti,Franc,DJF,248.42,01/03/2018,31/03/2018
Dominica,E Caribbean Dollar,XCD,3.7742,01/03/2018,31/03/2018
Dominican Republic,Peso,DOP,68.71,01/03/2018,31/03/2018
Dubai,Dirham,AED,5.1345,01/03/2018,31/03/2018
Ecuador,Dollar,ECS,1.3979,01/03/2018,31/03/2018
Egypt,Pound,EGP,24.74,01/03/2018,31/03/2018
El Salvador,Colon,SVC,12.23,01/03/2018,31/03/2018
Equatorial Guinea,CFA Franc,XAF,744.29,01/03/2018,31/03/2018
Eritrea,Nakfa,ERN,20.96,01/03/2018,31/03/2018
Ethiopia,Birr,ETB,38.24,01/03/2018,31/03/2018
Eurozone,Euro,EUR,1.1347,01/03/2018,31/03/2018
Fiji Islands,Dollar,FJD,2.8075,01/03/2018,31/03/2018
Fr. Polynesia,CFP Franc,XPF,135.4,01/03/2018,31/03/2018
Gabon,CFA Franc,XAF,744.29,01/03/2018,31/03/2018
Gambia,Dalasi,GMD,66.74,01/03/2018,31/03/2018
Georgia,Lari,GEL,3.4429,01/03/2018,31/03/2018
Ghana,Cedi,GHS,6.2435,01/03/2018,31/03/2018
Grenada,E Caribbean Dollar,XCD,3.7742,01/03/2018,31/03/2018
Guatemala,Quetzal,GTQ,10.29,01/03/2018,31/03/2018
Guinea Bissau,CFA Franc,XOF,744.29,01/03/2018,31/03/2018
Guinea Republic,Franc,GNF,12619.17,01/03/2018,31/03/2018
Guyana,Dollar,GYD,289.3,01/03/2018,31/03/2018
Haiti,Gourde,HTG,89.92,01/03/2018,31/03/2018
Honduras,Lempira,HNL,32.94,01/03/2018,31/03/2018
Hong Kong,Dollar,HKD,10.93,01/03/2018,31/03/2018
Hungary,Forint,HUF,354.47,01/03/2018,31/03/2018
Iceland,Krona,ISK,140.57,01/03/2018,31/03/2018
India,Rupee,INR,90.5,01/03/2018,31/03/2018
Indonesia,Rupiah,IDR,19036.05,01/03/2018,31/03/2018
Iraq,Dinar,IQD,1655.06,01/03/2018,31/03/2018
Israel,Shekel,ILS,4.8764,01/03/2018,31/03/2018
Jamaica,Dollar,JMD,175.98,01/03/2018,31/03/2018
Japan,Yen,JPY,150.43,01/03/2018,31/03/2018
Jordan,Dinar,JOD,0.9911,01/03/2018,31/03/2018
Kazakhstan,Tenge,KZT,446.57,01/03/2018,31/03/2018
Kenya,Schilling,KES,141.74,01/03/2018,31/03/2018
Kuwait,Dinar,KWD,0.4192,01/03/2018,31/03/2018
Kyrgyz Republic,Som,KGS,95.21,01/03/2018,31/03/2018
Lao People's Dem Rep,Kip,LAK,11602.22,01/03/2018,31/03/2018
Lebanon,Pound,LBP,2115.65,01/03/2018,31/03/2018
Lesotho,Loti,LSL,16.27,01/03/2018,31/03/2018
Liberia,Dollar (US),LRD,1.3979,01/03/2018,31/03/2018
Libya,Dinar,LYD,1.8592,01/03/2018,31/03/2018
Macao,Pataca,MOP,11.26,01/03/2018,31/03/2018
Macedonia,Denar,MKD,69.86,01/03/2018,31/03/2018
Madagascar,Malagasy Ariary,MGA,4389.27,01/03/2018,31/03/2018
Malawi,Kwacha,MWK,1015.08,01/03/2018,31/03/2018
Malaysia,Ringgit,MYR,5.46,01/03/2018,31/03/2018
Maldive Islands,Rufiyaa,MVR,21.59,01/03/2018,31/03/2018
Mali Republic,CFA Franc,XOF,744.29,01/03/2018,31/03/2018
Mauritania,Ouguiya,MRO,492.95,01/03/2018,31/03/2018
Mauritius,Rupee,MUR,45.77,01/03/2018,31/03/2018
Mexico,Mexican Peso,MXN,26.05,01/03/2018,31/03/2018
Moldova,Leu,MDL,23.28,01/03/2018,31/03/2018
Mongolia,Tugrik,MNT,3350.66,01/03/2018,31/03/2018
