Country,Currency,Currency code,Currency units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.3299,01/04/2016,30/04/2016
Albania,Lek,ALL,177.84,01/04/2016,30/04/2016
Algeria,Dinar,DZD,159.8,01/04/2016,30/04/2016
Angola,Readj Kwanza,AOA,230.47,01/04/2016,30/04/2016
Antigua,E Caribbean Dollar,XCD,3.9181,01/04/2016,30/04/2016
Argentina,Peso,ARS,20.38,01/04/2016,30/04/2016
Armenia,Dram,AMD,705.35,01/04/2016,30/04/2016
Aruba,Florin,AWG,2.5976,01/04/2016,30/04/2016
Australia,Dollar,AUD,1.8736,01/04/2016,30/04/2016
Azerbaijan,New Manat,AZN,2.3454,01/04/2016,12/04/2016
Azerbaijan,New Manat,AZN,2.1566,13/04/2016,30/04/2016
Bahamas,Dollar,BSD,1.411,01/04/2016,30/04/2016
Bahrain,Dinar,BHD,0.5472,01/04/2016,30/04/2016
Bangladesh,Taka,BDT,113.73,01/04/2016,30/04/2016
Barbados,Dollar,BBD,2.9023,01/04/2016,30/04/2016
Belarus,Rouble,BYR,29385.74,01/04/2016,30/04/2016
Belize,Dollar,BZD,2.895,01/04/2016,30/04/2016
Benin,CFA Franc,XOF,843.01,01/04/2016,30/04/2016
Bermuda,Dollar (US),BMD,1.411,01/04/2016,30/04/2016
Bhutan,Ngultrum,BTN,94.1,01/04/2016,30/04/2016
Bolivia,Boliviano,BOB,9.9113,01/04/2016,30/04/2016
Bosnia- Herzegovinia,Marka,BAM,2.5136,01/04/2016,30/04/2016
Botswana,Pula,BWP,16.04,01/04/2016,30/04/2016
Brazil,Real,BRL,5.1887,01/04/2016,30/04/2016
Brunei,Dollar,BND,1.9692,01/04/2016,30/04/2016
Bulgaria,Lev,BGN,2.514,01/04/2016,30/04/2016
Burkina Faso,CFA Franc,XOF,843.01,01/04/2016,30/04/2016
Burundi,Franc,BIF,2263.64,01/04/2016,30/04/2016
Cambodia,Riel,KHR,5811.84,01/04/2016,30/04/2016
Cameroon Republic,CFA Franc,XAF,843.01,01/04/2016,30/04/2016
Canada,Dollar,CAD,1.8631,01/04/2016,30/04/2016
Cape Verde Islands,Escudo,CVE,141.45,01/04/2016,30/04/2016
Cayman Islands,Dollar,KYD,1.1899,01/04/2016,30/04/2016
Central African Republic,CFA Franc,XAF,843.01,01/04/2016,30/04/2016
Chad,CFA Franc,XAF,843.01,01/04/2016,30/04/2016
Chile,Peso,CLP,979.88,01/04/2016,30/04/2016
China,Yuan,CNY,9.3927,01/04/2016,30/04/2016
Colombia,Peso,COP,4468.32,01/04/2016,30/04/2016
Comoros,Franc,KMF,632.26,01/04/2016,30/04/2016
Congo (Brazaville),CFA Franc,XAF,843.01,01/04/2016,30/04/2016
Congo (DemRep),Congo Fr,CDF,1340.86,01/04/2016,30/04/2016
Costa Rica,Colon,CRC,774.85,01/04/2016,30/04/2016
Cote d'Ivoire,CFA Franc,XOF,843.01,01/04/2016,30/04/2016
Croatia,Kuna,HRK,9.6767,01/04/2016,30/04/2016
Cuba,Peso,CUP,1.4511,01/04/2016,30/04/2016
Czech Republic,Koruna,CZK,34.74,01/04/2016,30/04/2016
Denmark,Krone,DKK,9.41,01/04/2016,30/04/2016
Djibouti,Franc,DJF,257.89,01/04/2016,30/04/2016
Dominica,E Caribbean Dollar,XCD,3.9181,01/04/2016,30/04/2016
Dominican Republic,Peso,DOP,66.44,01/04/2016,30/04/2016
Dubai,Dirham,AED,5.3299,01/04/2016,30/04/2016
Ecuador,Dollar,ECS,1.411,01/04/2016,30/04/2016
Egypt,Pound,EGP,12.89,01/04/2016,30/04/2016
El Salvador,Colon,SVC,12.68,01/04/2016,30/04/2016
Equatorial Guinea,CFA Franc,XAF,843.01,01/04/2016,30/04/2016
Eritrea,Nakfa,ERN,21.76,01/04/2016,30/04/2016
Ethiopia,Birr,ETB,30.97,01/04/2016,30/04/2016
Eurozone,Euro,EUR,1.2626,01/04/2016,30/04/2016
Fiji Islands,Dollar,FJD,3.0219,01/04/2016,30/04/2016
Fr. Polynesia,CFP Franc,XPF,153.36,01/04/2016,30/04/2016
Gabon,CFA Franc,XAF,843.01,01/04/2016,30/04/2016
Gambia,Dalasi,GMD,57.11,01/04/2016,05/04/2016
Gambia,Dalasi,GMD,60.6,06/04/2016,30/04/2016
Georgia,Lari,GEL,3.3159,01/04/2016,30/04/2016
Ghana,Cedi,GHS,5.5797,01/04/2016,30/04/2016
Grenada,E Caribbean Dollar,XCD,3.9181,01/04/2016,30/04/2016
Guatemala,Quetzal,GTQ,11.23,01/04/2016,30/04/2016
Guinea Bissau,CFA Franc,XOF,843.01,01/04/2016,30/04/2016
Guinea Republic,Franc,GNF,11065,01/04/2016,30/04/2016
Guyana,Dollar,GYD,301.11,01/04/2016,30/04/2016
Haiti,Gourde,HTG,89.62,01/04/2016,30/04/2016
Honduras,Lempira,HNL,32.84,01/04/2016,30/04/2016
Hong Kong,Dollar,HKD,10.94,01/04/2016,30/04/2016
Hungary,Forint,HUF,398.52,01/04/2016,30/04/2016
Iceland,Krona,ISK,181.21,01/04/2016,30/04/2016
India,Rupee,INR,94.1,01/04/2016,30/04/2016
Indonesia,Rupiah,IDR,19035.43,01/04/2016,30/04/2016
Iraq,Dinar,IQD,1719.6,01/04/2016,30/04/2016
Israel,Shekel,ILS,5.4133,01/04/2016,30/04/2016
Jamaica,Dollar,JMD,176.51,01/04/2016,30/04/2016
Japan,Yen,JPY,158.96,01/04/2016,30/04/2016
Jordan,Dinar,JOD,1.0292,01/04/2016,30/04/2016
Kazakhstan,Tenge,KZT,502.34,01/04/2016,26/04/2016
Kazakhstan,Tenge,KZT,473.09,27/04/2016,30/04/2016
Kenya,Schilling,KES,147.36,01/04/2016,30/04/2016
Kuwait,Dinar,KWD,0.4362,01/04/2016,30/04/2016
Kyrgyz Republic,Som,KGS,104.56,01/04/2016,12/04/2016
Kyrgyz Republic,Som,KGS,99.31,13/04/2016,30/04/2016
Lao People's Dem Rep,Kip,LAK,11776.05,01/04/2016,30/04/2016
Lebanon,Pound,LBP,2192.68,01/04/2016,30/04/2016
Lesotho,Loti,LSL,22.15,01/04/2016,12/04/2016
Lesotho,Loti,LSL,21.04,13/04/2016,30/04/2016
Liberia,Dollar (US),LRD,1.411,01/04/2016,30/04/2016
Libya,Dinar,LYD,1.9518,01/04/2016,30/04/2016
Macao,Pataca,MOP,11.58,01/04/2016,30/04/2016
Macedonia,Denar,MKD,79.14,01/04/2016,30/04/2016
Madagascar,Malagasy Ariary,MGA,4630.61,01/04/2016,30/04/2016
Malawi,Kwacha,MWK,996.06,01/04/2016,30/04/2016
Malaysia,Ringgit,MYR,5.6348,01/04/2016,30/04/2016
Maldive Islands,Rufiyaa,MVR,22.43,01/04/2016,30/04/2016
Mali Republic,CFA Franc,XOF,843.01,01/04/2016,30/04/2016
Mauritania,Ouguiya,MRO,496.29,01/04/2016,30/04/2016
Mauritius,Rupee,MUR,51.32,01/04/2016,30/04/2016
Mexico,Mexican Peso,MXN,24.73,01/04/2016,30/04/2016
Moldova,Leu,MDL,28.59,01/04/2016,30/04/2016
Mongolia,Tugrik,MNT,2967.59,01/04/2016,30/04/2016
Montserrat,E Caribbean Dollar,XCD,3.9181,01/04/2016,30/04/2016
Morocco,Dirham,MAD,14.05,01/04/2016,30/04/2016
Mozambique,Metical,MZN,74,01/04/2016,30/04/2016
Myanmar,Kyat,MMK,1757.84,01/04/2016,19/04/2016
Myanmar,Kyat,MMK,1663.44,20/04/2016,30/04/2016
Nepal,Rupee,NPR,154.51,01/04/2016,30/04/2016
New Caledonia,CFP Franc,XPF,153.36,01/04/2016,30/04/2016
New Zealand,Dollar,NZD,2.1063,01/04/2016,30/04/2016
