Country,Currency,Country code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.6498,01/06/2019,30/06/2019
Albania,Lek,ALL,138.85,01/06/2019,30/06/2019
Algeria,Dinar,DZD,151.68,01/06/2019,30/06/2019
Angola,Readj Kwanza,AOA,416.31,01/06/2019,30/06/2019
Antigua,E Caribbean Dollar,XCD,3.4179,01/06/2019,30/06/2019
Argentina,Peso,ARS,56.49,01/06/2019,30/06/2019
Armenia,Dram,AMD,607.17,01/06/2019,30/06/2019
Aruba,Florin,AWG,2.266,01/06/2019,30/06/2019
Australia,Dollar,AUD,1.8412,01/06/2019,30/06/2019
Azerbaijan,New Manat,AZN,2.1476,01/06/2019,30/06/2019
Bahamas,Dollar,BSD,1.2659,01/06/2019,30/06/2019
Bahrain,Dinar,BHD,0.4772,01/06/2019,30/06/2019
Bangladesh,Taka,BDT,107.09,01/06/2019,30/06/2019
Barbados,Dollar,BBD,2.5318,01/06/2019,30/06/2019
Belarus,Rouble,BYN,2.63,01/06/2019,30/06/2019
Belize,Dollar,BZD,2.5318,01/06/2019,30/06/2019
Benin,CFA Franc,XOF,744.46,01/06/2019,30/06/2019
Bermuda,Dollar (US),BMD,1.2659,01/06/2019,30/06/2019
Bhutan,Ngultrum,BTN,88.19,01/06/2019,30/06/2019
Bolivia,Boliviano,BOB,8.7474,01/06/2019,30/06/2019
Bosnia- Herzegovinia,Marka,BAM,2.2197,01/06/2019,30/06/2019
Botswana,Pula,BWP,13.61,01/06/2019,30/06/2019
Brazil,Real,BRL,5.0867,01/06/2019,30/06/2019
Brunei,Dollar,BND,1.7459,01/06/2019,30/06/2019
Bulgaria,Lev,BGN,2.2198,01/06/2019,30/06/2019
Burkina Faso,CFA Franc,XOF,744.46,01/06/2019,30/06/2019
Burundi,Franc,BIF,2321.46,01/06/2019,30/06/2019
Cambodia,Riel,KHR,5135.13,01/06/2019,30/06/2019
Cameroon Republic,CFA Franc,XAF,744.46,01/06/2019,30/06/2019
Canada,Dollar,CAD,1.6973,01/06/2019,30/06/2019
Cape Verde Islands,Escudo,CVE,125.63,01/06/2019,30/06/2019
Cayman Islands,Dollar,KYD,1.038,01/06/2019,30/06/2019
Central African Republic,CFA Franc,XAF,744.46,01/06/2019,30/06/2019
Chad,CFA Franc,XAF,744.46,01/06/2019,30/06/2019
Chile,Peso,CLP,882.96,01/06/2019,30/06/2019
China,Yuan,CNY,8.7392,01/06/2019,30/06/2019
Colombia,Peso,COP,4227,01/06/2019,30/06/2019
Comoros,Franc,KMF,558.34,01/06/2019,30/06/2019
Congo (Brazaville),CFA Franc,XAF,744.46,01/06/2019,30/06/2019
Congo (DemRep),Congo Fr,CDF,2084.3,01/06/2019,30/06/2019
Costa Rica,Colon,CRC,744.07,01/06/2019,30/06/2019
Cote d'Ivoire,CFA Franc,XOF,744.46,01/06/2019,30/06/2019
Croatia,Kuna,HRK,8.4303,01/06/2019,30/06/2019
Cuba,Peso,CUP,1.2659,01/06/2019,30/06/2019
Czech Republic,Koruna,CZK,29.28,01/06/2019,30/06/2019
Denmark,Krone,DKK,8.4763,01/06/2019,30/06/2019
Djibouti,Franc,DJF,224.97,01/06/2019,30/06/2019
Dominica,E Caribbean Dollar,XCD,3.4179,01/06/2019,30/06/2019
Dominican Republic,Peso,DOP,64.19,01/06/2019,30/06/2019
Dubai,Dirham,AED,4.6498,01/06/2019,30/06/2019
Ecuador,Dollar,ECS,1.2659,01/06/2019,30/06/2019
Egypt,Pound,EGP,21.44,01/06/2019,30/06/2019
El Salvador,Colon,SVC,11.07,01/06/2019,30/06/2019
Equatorial Guinea,CFA Franc,XAF,744.46,01/06/2019,30/06/2019
Eritrea,Nakfa,ERN,18.98,01/06/2019,30/06/2019
Ethiopia,Birr,ETB,36.52,01/06/2019,30/06/2019
Eurozone,Euro,EUR,1.1349,01/06/2019,30/06/2019
Fiji Islands,Dollar,FJD,2.7404,01/06/2019,30/06/2019
Fr. Polynesia,CFP Franc,XPF,135.43,01/06/2019,30/06/2019
Gabon,CFA Franc,XAF,744.46,01/06/2019,30/06/2019
Gambia,Dalasi,GMD,63.23,01/06/2019,30/06/2019
Georgia,Lari,GEL,3.5167,01/06/2019,30/06/2019
Ghana,Cedi,GHS,6.6586,01/06/2019,30/06/2019
Grenada,E Caribbean Dollar,XCD,3.4179,01/06/2019,30/06/2019
Guatemala,Quetzal,GTQ,9.7042,01/06/2019,30/06/2019
Guinea Bissau,CFA Franc,XOF,744.46,01/06/2019,30/06/2019
Guinea Republic,Franc,GNF,11563.39,01/06/2019,30/06/2019
Guyana,Dollar,GYD,265.69,01/06/2019,30/06/2019
Haiti,Gourde,HTG,112.9,01/06/2019,30/06/2019
Honduras,Lempira,HNL,30.96,01/06/2019,30/06/2019
Hong Kong,Dollar,HKD,9.9372,01/06/2019,30/06/2019
Hungary,Forint,HUF,370.53,01/06/2019,30/06/2019
Iceland,Krona,ISK,157.18,01/06/2019,30/06/2019
India,Rupee,INR,88.19,01/06/2019,30/06/2019
Indonesia,Rupiah,IDR,18387.25,01/06/2019,30/06/2019
Iraq,Dinar,IQD,1506.42,01/06/2019,30/06/2019
Israel,Shekel,ILS,4.575,01/06/2019,30/06/2019
Jamaica,Dollar,JMD,170.63,01/06/2019,30/06/2019
Japan,Yen,JPY,139.65,01/06/2019,30/06/2019
Jordan,Dinar,JOD,0.8975,01/06/2019,30/06/2019
Kazakhstan,Tenge,KZT,479.61,01/06/2019,30/06/2019
Kenya,Schilling,KES,128.23,01/06/2019,30/06/2019
Kuwait,Dinar,KWD,0.3855,01/06/2019,30/06/2019
Kyrgyz Republic,Som,KGS,88.42,01/06/2019,30/06/2019
Lao People's Dem Rep,Kip,LAK,10937.4,01/06/2019,30/06/2019
