Country,Currency,Currency code,Currency units per �1 ,Start Date, End Date
Abu Dhabi,Dirham,AED,4.6397,01/07/2019,31/07/2019
Albania,Lek,ALL,137.03,01/07/2019,31/07/2019
Algeria,Dinar,DZD,150.99,01/07/2019,31/07/2019
Angola,Readj Kwanza,AOA,429.81,01/07/2019,31/07/2019
Antigua,E Caribbean Dollar,XCD,3.4105,01/07/2019,31/07/2019
Argentina,Peso,ARS,54.96,01/07/2019,31/07/2019
Armenia,Dram,AMD,603.83,01/07/2019,31/07/2019
Aruba,Florin,AWG,2.261,01/07/2019,31/07/2019
Australia,Dollar,AUD,1.8389,01/07/2019,31/07/2019
Azerbaijan,New Manat,AZN,2.1429,01/07/2019,31/07/2019
Bahamas,Dollar,BSD,1.2632,01/07/2019,31/07/2019
Bahrain,Dinar,BHD,0.4762,01/07/2019,31/07/2019
Bangladesh,Taka,BDT,106.73,01/07/2019,31/07/2019
Barbados,Dollar,BBD,2.5263,01/07/2019,31/07/2019
Belarus,Rouble,BYN,2.6037,01/07/2019,31/07/2019
Belize,Dollar,BZD,2.5263,01/07/2019,31/07/2019
Benin,CFA Franc,XOF,738.77,01/07/2019,31/07/2019
Bermuda,Dollar (US),BMD,1.2632,01/07/2019,31/07/2019
Bhutan,Ngultrum,BTN,88.02,01/07/2019,31/07/2019
Bolivia,Boliviano,BOB,8.7284,01/07/2019,31/07/2019
Bosnia- Herzegovinia,Marka,BAM,2.2027,01/07/2019,31/07/2019
Botswana,Pula,BWP,13.62,01/07/2019,31/07/2019
Brazil,Real,BRL,4.8945,01/07/2019,31/07/2019
Brunei,Dollar,BND,1.7258,01/07/2019,31/07/2019
Bulgaria,Lev,BGN,2.2029,01/07/2019,31/07/2019
Burkina Faso,CFA Franc,XOF,738.77,01/07/2019,31/07/2019
Burundi,Franc,BIF,2319.77,01/07/2019,31/07/2019
Cambodia,Riel,KHR,5150.5,01/07/2019,31/07/2019
Cameroon Republic,CFA Franc,XAF,738.77,01/07/2019,31/07/2019
Canada,Dollar,CAD,1.6876,01/07/2019,31/07/2019
Cape Verde Islands,Escudo,CVE,124.64,01/07/2019,31/07/2019
Cayman Islands,Dollar,KYD,1.0358,01/07/2019,31/07/2019
Central African Republic,CFA Franc,XAF,738.77,01/07/2019,31/07/2019
Chad,CFA Franc,XAF,738.77,01/07/2019,31/07/2019
Chile,Peso,CLP,878.3,01/07/2019,31/07/2019
China,Yuan,CNY,8.7207,01/07/2019,31/07/2019
Colombia,Peso,COP,4106.93,01/07/2019,31/07/2019
Comoros,Franc,KMF,554.08,01/07/2019,31/07/2019
Congo (Brazaville),CFA Franc,XAF,738.77,01/07/2019,31/07/2019
Congo (DemRep),Congo Fr,CDF,2084.2,01/07/2019,31/07/2019
Costa Rica,Colon,CRC,737.82,01/07/2019,31/07/2019
Cote d'Ivoire,CFA Franc,XOF,738.77,01/07/2019,31/07/2019
Croatia,Kuna,HRK,8.3375,01/07/2019,31/07/2019
Cuba,Peso,CUP,1.2632,01/07/2019,31/07/2019
Czech Republic,Koruna,CZK,28.88,01/07/2019,31/07/2019
Denmark,Krone,DKK,8.4099,01/07/2019,31/07/2019
Djibouti,Franc,DJF,224.48,01/07/2019,31/07/2019
Dominica,E Caribbean Dollar,XCD,3.4105,01/07/2019,31/07/2019
Dominican Republic,Peso,DOP,64.3,01/07/2019,31/07/2019
Dubai,Dirham,AED,4.6397,01/07/2019,31/07/2019
Ecuador,Dollar,ECS,1.2632,01/07/2019,31/07/2019
Egypt,Pound,EGP,21.15,01/07/2019,31/07/2019
El Salvador,Colon,SVC,11.05,01/07/2019,31/07/2019
Equatorial Guinea,CFA Franc,XAF,738.77,01/07/2019,31/07/2019
Eritrea,Nakfa,ERN,18.94,01/07/2019,31/07/2019
Ethiopia,Birr,ETB,36.44,01/07/2019,31/07/2019
Eurozone,Euro,EUR,1.1263,01/07/2019,31/07/2019
Fiji Islands,Dollar,FJD,2.728,01/07/2019,31/07/2019
Fr. Polynesia,CFP Franc,XPF,134.3,01/07/2019,31/07/2019
Gabon,CFA Franc,XAF,738.77,01/07/2019,31/07/2019
Gambia,Dalasi,GMD,62.58,01/07/2019,31/07/2019
Georgia,Lari,GEL,3.528,01/07/2019,31/07/2019
Ghana,Cedi,GHS,6.8716,01/07/2019,31/07/2019
Grenada,E Caribbean Dollar,XCD,3.4105,01/07/2019,31/07/2019
Guatemala,Quetzal,GTQ,9.7267,01/07/2019,31/07/2019
Guinea Bissau,CFA Franc,XOF,738.77,01/07/2019,31/07/2019
Guinea Republic,Franc,GNF,11571.74,01/07/2019,31/07/2019
Guyana,Dollar,GYD,263.82,01/07/2019,31/07/2019
