Country,Currency,Currency code,Currecny units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.7426,01/08/2015,31/08/2015
Albania,Lek,ALL,200.78,01/08/2015,31/08/2015
Algeria,Dinar,DZD,156.63,01/08/2015,25/08/2015
Algeria,Dinar,DZD,164.13,26/08/2015,31/08/2015
Angola,Readj Kwanza,AOA,196.36,01/08/2015,31/08/2015
Antigua,E Caribbean Dollar,XCD,4.2213,01/08/2015,31/08/2015
Argentina,Peso,ARS,14.31,01/08/2015,31/08/2015
Armenia,Dram,AMD,750.34,01/08/2015,31/08/2015
Aruba,Florin,AWG,2.7986,01/08/2015,31/08/2015
Australia,Dollar,AUD,2.1189,01/08/2015,31/08/2015
Azerbaijan,New Manat,AZN,1.6432,01/08/2015,31/08/2015
Bahamas,Dollar,BSD,1.5634,01/08/2015,31/08/2015
Bahrain,Dinar,BHD,0.5895,01/08/2015,31/08/2015
Bangladesh,Taka,BDT,121.59,01/08/2015,31/08/2015
Barbados,Dollar,BBD,3.1269,01/08/2015,31/08/2015
Belarus,Rouble,BYR,23760.58,01/08/2015,31/08/2015
Belize,Dollar,BZD,3.1425,01/08/2015,31/08/2015
Benin,CFA Franc,XOF,944.9,01/08/2015,31/08/2015
Bermuda,Dollar (US),BMD,1.5634,01/08/2015,31/08/2015
Bhutan,Ngultrum,BTN,99.41,01/08/2015,31/08/2015
Bolivia,Boliviano,BOB,10.78,01/08/2015,31/08/2015
Bosnia- Herzegovinia,Marka,BAM,2.8174,01/08/2015,31/08/2015
Botswana,Pula,BWP,15.64,01/08/2015,31/08/2015
Brazil,Real,BRL,5.0242,01/08/2015,04/08/2015
Brazil,Real,BRL,5.2263,05/08/2015,31/08/2015
Brunei,Dollar,BND,2.1359,01/08/2015,31/08/2015
Bulgaria,Lev,BGN,2.8177,01/08/2015,31/08/2015
Burkina Faso,CFA Franc,XOF,944.9,01/08/2015,31/08/2015
Burundi,Franc,BIF,2554.99,01/08/2015,18/08/2015
Burundi,Franc,BIF,2410.77,19/08/2015,31/08/2015
Cambodia,Riel,KHR,6422.66,01/08/2015,31/08/2015
Cameroon Republic,CFA Franc,XAF,944.9,01/08/2015,31/08/2015
Canada,Dollar,CAD,2.0363,01/08/2015,31/08/2015
Cape Verde Islands,Escudo,CVE,158.88,01/08/2015,31/08/2015
Cayman Islands,Dollar,KYD,1.282,01/08/2015,31/08/2015
Central African Republic,CFA Franc,XAF,944.9,01/08/2015,31/08/2015
Chad,CFA Franc,XAF,944.9,01/08/2015,31/08/2015
Chile,Peso,CLP,1008.63,01/08/2015,11/08/2015
Chile,Peso,CLP,1048.33,12/08/2015,31/08/2015
China,Yuan,CNY,9.7083,01/08/2015,31/08/2015
Colombia,Peso,COP,4297.15,01/08/2015,18/08/2015
Colombia,Peso,COP,4545.16,19/08/2015,31/08/2015
Comoros,Franc,KMF,708.68,01/08/2015,31/08/2015
Congo (Brazaville),CFA Franc,XAF,944.9,01/08/2015,31/08/2015
Congo (DemRep),Congo Fr,CDF,1444.63,01/08/2015,31/08/2015
Costa Rica,Colon,CRC,833.78,01/08/2015,31/08/2015
Cote d'Ivoire,CFA Franc,XOF,944.9,01/08/2015,31/08/2015
Croatia,Kuna,HRK,10.92,01/08/2015,31/08/2015
Cuba,Peso,CUP,1.5635,01/08/2015,31/08/2015
Czech Republic,Koruna,CZK,38.95,01/08/2015,31/08/2015
Denmark,Krone,DKK,10.71,01/08/2015,31/08/2015
Djibouti,Franc,DJF,277.85,01/08/2015,31/08/2015
Dominica,E Caribbean Dollar,XCD,4.2213,01/08/2015,31/08/2015
Dominican Republic,Peso,DOP,69.98,01/08/2015,31/08/2015
Dubai,Dirham,AED,5.7426,01/08/2015,31/08/2015
Ecuador,Dollar,ECS,1.5634,01/08/2015,31/08/2015
Egypt,Pound,EGP,12.23,01/08/2015,31/08/2015
El Salvador,Colon,SVC,13.67,01/08/2015,31/08/2015
Equatorial Guinea,CFA Franc,XAF,944.9,01/08/2015,31/08/2015
Eritrea,Nakfa,ERN,23.45,01/08/2015,31/08/2015
Ethiopia,Birr,ETB,32.39,01/08/2015,31/08/2015
Eurozone,Euro,EUR,1.4354,01/08/2015,31/08/2015
Fiji Islands,Dollar,FJD,3.3436,01/08/2015,31/08/2015
Fr. Polynesia,CFP Franc,XPF,171.89,01/08/2015,31/08/2015
Gabon,CFA Franc,XAF,944.9,01/08/2015,31/08/2015
Gambia,Dalasi,GMD,61.64,01/08/2015,31/08/2015
Georgia,Lari,GEL,3.5397,01/08/2015,31/08/2015
Ghana,Cedi,GHS,5.0812,01/08/2015,11/08/2015
Ghana,Cedi,GHS,5.9611,12/08/2015,25/08/2015
Ghana,Cedi,GHS,6.3997,26/08/2015,31/08/2015
Grenada,E Caribbean Dollar,XCD,4.2213,01/08/2015,31/08/2015
Guatemala,Quetzal,GTQ,11.95,01/08/2015,31/08/2015
Guinea Bissau,CFA Franc,XOF,944.9,01/08/2015,31/08/2015
Guinea Republic,Franc,GNF,11460.1,01/08/2015,31/08/2015
Guyana,Dollar,GYD,323.56,01/08/2015,31/08/2015
Haiti,Gourde,HTG,86.02,01/08/2015,25/08/2015
Haiti,Gourde,HTG,81.23,26/08/2015,31/08/2015
Honduras,Lempira,HNL,34.25,01/08/2015,31/08/2015
Hong Kong,Dollar,HKD,12.11,01/08/2015,31/08/2015
Hungary,Forint,HUF,445.02,01/08/2015,31/08/2015
Iceland,Krona,ISK,212.11,01/08/2015,31/08/2015
India,Rupee,INR,99.41,01/08/2015,31/08/2015
Indonesia,Rupiah,IDR,20863.49,01/08/2015,31/08/2015
Iraq,Dinar,IQD,1862.85,01/08/2015,31/08/2015
Israel,Shekel,ILS,5.973,01/08/2015,31/08/2015
Jamaica,Dollar,JMD,183.06,01/08/2015,31/08/2015
Japan,Yen,JPY,193.93,01/08/2015,31/08/2015
Jordan,Dinar,JOD,1.1079,01/08/2015,31/08/2015
Kazakhstan,Tenge,KZT,292.67,01/08/2015,31/08/2015
Kenya,Schilling,KES,160.17,01/08/2015,31/08/2015
Kuwait,Dinar,KWD,0.4739,01/08/2015,31/08/2015
Kyrgyz Republic,Som,KGS,98.5,01/08/2015,31/08/2015
Lao People's Dem Rep,Kip,LAK,12710.87,01/08/2015,31/08/2015
Lebanon,Pound,LBP,2356.9,01/08/2015,31/08/2015
Lesotho,Loti,LSL,19.26,01/08/2015,31/08/2015
Liberia,Dollar (US),LRD,1.5634,01/08/2015,31/08/2015
Libya,Dinar,LYD,2.1341,01/08/2015,31/08/2015
Macao,Pataca,MOP,12.48,01/08/2015,31/08/2015
Macedonia,Denar,MKD,88.28,01/08/2015,31/08/2015
Madagascar,Malagasy Ariary,MGA,5135.94,01/08/2015,11/08/2015
Madagascar,Malagasy Ariary,MGA,5297.92,12/08/2015,31/08/2015
Malawi,Kwacha,MWK,719.32,01/08/2015,11/08/2015
Malawi,Kwacha,MWK,799.13,12/08/2015,18/08/2015
Malawi,Kwacha,MWK,864.49,19/08/2015,31/08/2015
Malaysia,Ringgit,MYR,5.93,01/08/2015,18/08/2015
Malaysia,Ringgit,MYR,6.3164,19/08/2015,31/08/2015
Maldive Islands,Rufiyaa,MVR,23.86,01/08/2015,31/08/2015
Mali Republic,CFA Franc,XOF,944.9,01/08/2015,31/08/2015
Mauritania,Ouguiya,MRO,509.68,01/08/2015,31/08/2015
Mauritius,Rupee,MUR,55.38,01/08/2015,31/08/2015
Mexico,Mexican Peso,MXN,25.14,01/08/2015,11/08/2015
Mexico,Mexican Peso,MXN,25.55,12/08/2015,31/08/2015
Moldova,Leu,MDL,29.52,01/08/2015,31/08/2015
Mongolia,Tugrik,MNT,3095.63,01/08/2015,31/08/2015
Montserrat,E Caribbean Dollar,XCD,4.2213,01/08/2015,31/08/2015
Morocco,Dirham,MAD,15.46,01/08/2015,31/08/2015
Mozambique,Metical,MZN,60.2,01/08/2015,31/08/2015
Myanmar,Kyat,MMK,1916.48,01/08/2015,31/08/2015
Nepal,Rupee,NPR,158.75,01/08/2015,31/08/2015
New Caledonia,CFP Franc,XPF,171.89,01/08/2015,31/08/2015
New Zealand,Dollar,NZD,2.3789,01/08/2015,11/08/2015
New Zealand,Dollar,NZD,2.3941,12/08/2015,31/08/2015
Nicaragua,Gold Cordoba,NIO,42.7,01/08/2015,31/08/2015
Niger Republic,CFA Franc,XOF,944.9,01/08/2015,31/08/2015
Nigeria,Naira,NGN,311.12,01/08/2015,31/08/2015
Norway,Norwegian Krone,NOK,12.78,01/08/2015,31/08/2015
Oman,Rial,OMR,0.6019,01/08/2015,31/08/2015
Pakistan,Rupee,PKR,159.15,01/08/2015,31/08/2015
Panama,Balboa,PAB,1.5635,01/08/2015,31/08/2015
Papua New Guinea,Kina,PGK,4.3148,01/08/2015,31/08/2015
Paraguay,Guarani,PYG,8045.9,01/08/2015,31/08/2015
Peru,New Sol,PEN,4.9726,01/08/2015,31/08/2015
Philippines,Peso,PHP,70.73,01/08/2015,31/08/2015
Poland,Zloty,PLN,5.9159,01/08/2015,31/08/2015
Qatar,Riyal,QAR,5.693,01/08/2015,31/08/2015
Romania,New Leu,RON,6.3641,01/08/2015,31/08/2015
Russia,Rouble,RUB,89.2575,01/08/2015,04/08/2015
Russia,Rouble,RUB,90.97,05/08/2015,18/08/2015
Russia,Rouble,RUB,98.99,19/08/2015,31/08/2015
Rwanda,Franc,RWF,1133.97,01/08/2015,31/08/2015
Saotome and Principe,Dobra,STD,35294.94,01/08/2015,31/08/2015
Saudi Arabia,Riyal,SAR,5.8634,01/08/2015,31/08/2015
Senegal,CFA Franc,XOF,944.9,01/08/2015,31/08/2015
Serbia,Dinar,RSD,172.94,01/08/2015,31/08/2015
Seychelles,Rupee,SCR,20.57,01/08/2015,31/08/2015
Sierra Leone,Leone,SLL,6316.34,01/08/2015,04/08/2015
Sierra Leone,Leone,SLL,6177.91,05/08/2015,25/08/2015
Sierra Leone,Leone,SLL,7239.41,26/08/2015,31/08/2015
