Country,Currency,Currency code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.4557,01/09/2019,30/09/2019
Albania,Lek,ALL,132.48,01/09/2019,30/09/2019
Algeria,Dinar,DZD,145.5,01/09/2019,30/09/2019
Angola,Readj Kwanza,AOA,439.12,01/09/2019,30/09/2019
Antigua,E Caribbean Dollar,XCD,3.2752,01/09/2019,30/09/2019
Argentina,Peso,ARS,66.72,01/09/2019,30/09/2019
Armenia,Dram,AMD,577.33,01/09/2019,30/09/2019
Aruba,Florin,AWG,2.1714,01/09/2019,30/09/2019
Australia,Dollar,AUD,1.7869,01/09/2019,30/09/2019
Azerbaijan,New Manat,AZN,2.0579,01/09/2019,30/09/2019
Bahamas,Dollar,BSD,1.213,01/09/2019,30/09/2019
Bahrain,Dinar,BHD,0.4573,01/09/2019,30/09/2019
Bangladesh,Taka,BDT,102.39,01/09/2019,30/09/2019
Barbados,Dollar,BBD,2.4261,01/09/2019,30/09/2019
Belarus,Rouble,BYN,2.4901,01/09/2019,30/09/2019
Belize,Dollar,BZD,2.4261,01/09/2019,30/09/2019
Benin,CFA Franc,XOF,717.27,01/09/2019,30/09/2019
Bermuda,Dollar (US),BMD,1.213,01/09/2019,30/09/2019
Bhutan,Ngultrum,BTN,86.79,01/09/2019,30/09/2019
Bolivia,Boliviano,BOB,8.3822,01/09/2019,30/09/2019
Bosnia- Herzegovinia,Marka,BAM,2.1387,01/09/2019,30/09/2019
Botswana,Pula,BWP,13.41,01/09/2019,30/09/2019
Brazil,Real,BRL,4.892,01/09/2019,30/09/2019
Brunei,Dollar,BND,1.6781,01/09/2019,30/09/2019
Bulgaria,Lev,BGN,2.1387,01/09/2019,30/09/2019
Burkina Faso,CFA Franc,XOF,717.27,01/09/2019,30/09/2019
Burundi,Franc,BIF,2236.71,01/09/2019,30/09/2019
Cambodia,Riel,KHR,4949.9,01/09/2019,30/09/2019
Cameroon Republic,CFA Franc,XAF,717.27,01/09/2019,30/09/2019
Canada,Dollar,CAD,1.6113,01/09/2019,30/09/2019
Cape Verde Islands,Escudo,CVE,120.47,01/09/2019,30/09/2019
Cayman Islands,Dollar,KYD,0.9947,01/09/2019,30/09/2019
Central African Republic,CFA Franc,XAF,717.27,01/09/2019,30/09/2019
Chad,CFA Franc,XAF,717.27,01/09/2019,30/09/2019
Chile,Peso,CLP,861.87,01/09/2019,30/09/2019
China,Yuan,CNY,8.568,01/09/2019,30/09/2019
Colombia,Peso,COP,4115.47,01/09/2019,30/09/2019
Comoros,Franc,KMF,537.95,01/09/2019,30/09/2019
Congo (Brazaville),CFA Franc,XAF,717.27,01/09/2019,30/09/2019
Congo (DemRep),Congo Fr,CDF,2006.38,01/09/2019,30/09/2019
Costa Rica,Colon,CRC,685.04,01/09/2019,30/09/2019
Cote d'Ivoire,CFA Franc,XOF,717.27,01/09/2019,30/09/2019
Croatia,Kuna,HRK,8.073,01/09/2019,30/09/2019
Cuba,Peso,CUP,1.213,01/09/2019,30/09/2019
Czech Republic,Koruna,CZK,28.21,01/09/2019,30/09/2019
Denmark,Krone,DKK,8.153,01/09/2019,30/09/2019
Djibouti,Franc,DJF,215.58,01/09/2019,30/09/2019
Dominica,E Caribbean Dollar,XCD,3.2752,01/09/2019,30/09/2019
Dominican Republic,Peso,DOP,61.77,01/09/2019,30/09/2019
Dubai,Dirham,AED,4.4557,01/09/2019,30/09/2019
Ecuador,Dollar,ECS,1.213,01/09/2019,30/09/2019
Egypt,Pound,EGP,20.13,01/09/2019,30/09/2019
El Salvador,Colon,SVC,10.61,01/09/2019,30/09/2019
Equatorial Guinea,CFA Franc,XAF,717.27,01/09/2019,30/09/2019
Eritrea,Nakfa,ERN,18.19,01/09/2019,30/09/2019
Ethiopia,Birr,ETB,35.49,01/09/2019,30/09/2019
Eurozone,Euro,EUR,1.0935,01/09/2019,30/09/2019
Fiji Islands,Dollar,FJD,2.6386,01/09/2019,30/09/2019
Fr. Polynesia,CFP Franc,XPF,130.48,01/09/2019,30/09/2019
Gabon,CFA Franc,XAF,717.27,01/09/2019,30/09/2019
Gambia,Dalasi,GMD,61.47,01/09/2019,30/09/2019
Georgia,Lari,GEL,3.5603,01/09/2019,30/09/2019
Ghana,Cedi,GHS,6.6354,01/09/2019,30/09/2019
Grenada,E Caribbean Dollar,XCD,3.2752,01/09/2019,30/09/2019
Guatemala,Quetzal,GTQ,9.3059,01/09/2019,30/09/2019
Guinea Bissau,CFA Franc,XOF,717.27,01/09/2019,30/09/2019
Guinea Republic,Franc,GNF,11136.99,01/09/2019,30/09/2019
Guyana,Dollar,GYD,253.75,01/09/2019,30/09/2019
Haiti,Gourde,HTG,113.19,01/09/2019,30/09/2019
Honduras,Lempira,HNL,29.78,01/09/2019,30/09/2019
Hong Kong,Dollar,HKD,9.5148,01/09/2019,30/09/2019
Hungary,Forint,HUF,357.94,01/09/2019,30/09/2019
Iceland,Krona,ISK,151.23,01/09/2019,30/09/2019
India,Rupee,INR,86.79,01/09/2019,30/09/2019
Indonesia,Rupiah,IDR,17273.81,01/09/2019,30/09/2019
Iraq,Dinar,IQD,1447.28,01/09/2019,30/09/2019
Israel,Shekel,ILS,4.2753,01/09/2019,30/09/2019
Jamaica,Dollar,JMD,163.06,01/09/2019,30/09/2019
Japan,Yen,JPY,129.15,01/09/2019,30/09/2019
Jordan,Dinar,JOD,0.8601,01/09/2019,30/09/2019
Kazakhstan,Tenge,KZT,468.26,01/09/2019,30/09/2019
Kenya,Schilling,KES,124.94,01/09/2019,30/09/2019
Kuwait,Dinar,KWD,0.3691,01/09/2019,30/09/2019
Kyrgyz Republic,Som,KGS,84.67,01/09/2019,30/09/2019
Lao People's Dem Rep,Kip,LAK,10576.37,01/09/2019,30/09/2019
Lebanon,Pound,LBP,1829.88,01/09/2019,30/09/2019
Lesotho,Loti,LSL,18.48,01/09/2019,30/09/2019
Liberia,Dollar (US),LRD,1.213,01/09/2019,30/09/2019
Libya,Dinar,LYD,1.7097,01/09/2019,30/09/2019
Macao,Pataca,MOP,9.8003,01/09/2019,30/09/2019
Macedonia,Denar,MKD,67.35,01/09/2019,30/09/2019
Madagascar,Malagasy Ariary,MGA,4497.37,01/09/2019,30/09/2019
Malawi,Kwacha,MWK,888.45,01/09/2019,30/09/2019
Malaysia,Ringgit,MYR,5.0675,01/09/2019,30/09/2019
Maldive Islands,Rufiyaa,MVR,18.8,01/09/2019,30/09/2019
Mali Republic,CFA Franc,XOF,717.27,01/09/2019,30/09/2019
Mauritania,Ouguiya,MRO,433.42,01/09/2019,30/09/2019
Mauritius,Rupee,MUR,43.73,01/09/2019,30/09/2019
Mexico,Mexican Peso,MXN,23.92,01/09/2019,30/09/2019
Moldova,Leu,MDL,21.22,01/09/2019,30/09/2019
Mongolia,Tugrik,MNT,3238.23,01/09/2019,30/09/2019
Montserrat,E Caribbean Dollar,XCD,3.2752,01/09/2019,30/09/2019
Morocco,Dirham,MAD,11.65,01/09/2019,30/09/2019
Mozambique,Metical,MZN,73.69,01/09/2019,30/09/2019
Myanmar,Kyat,MMK,1846.01,01/09/2019,30/09/2019
Nepal,Rupee,NPR,138.87,01/09/2019,30/09/2019
New Caledonia,CFP Franc,XPF,130.48,01/09/2019,30/09/2019
New Zealand,Dollar,NZD,1.8926,01/09/2019,30/09/2019
Nicaragua,Gold Cordoba,NIO,40.45,01/09/2019,30/09/2019
Niger Republic,CFA Franc,XOF,717.27,01/09/2019,30/09/2019
Nigeria,Naira,NGN,438.82,01/09/2019,30/09/2019
Norway,Norwegian Krone,NOK,10.86,01/09/2019,30/09/2019
Oman,Rial,OMR,0.467,01/09/2019,30/09/2019
Pakistan,Rupee,PKR,192.14,01/09/2019,30/09/2019
Panama,Balboa,PAB,1.213,01/09/2019,30/09/2019
Papua New Guinea,Kina,PGK,4.1217,01/09/2019,30/09/2019
Paraguay,Guarani,PYG,7449.44,01/09/2019,30/09/2019
Peru,New Sol,PEN,4.1009,01/09/2019,30/09/2019
Philippines,Peso,PHP,63.44,01/09/2019,30/09/2019
Poland,Zloty,PLN,4.7592,01/09/2019,30/09/2019
Qatar,Riyal,QAR,4.4176,01/09/2019,30/09/2019
Romania,New Leu,RON,5.1645,01/09/2019,30/09/2019
Russia,Rouble,RUB,79.94,01/09/2019,30/09/2019
Rwanda,Franc,RWF,1114.38,01/09/2019,30/09/2019
Saotome & Principe,Dobra,STD,26596.1,01/09/2019,30/09/2019
Saudi Arabia,Riyal,SAR,4.5494,01/09/2019,30/09/2019
Senegal,CFA Franc,XOF,717.27,01/09/2019,30/09/2019
Serbia,Dinar,RSD,128.84,01/09/2019,30/09/2019
Seychelles,Rupee,SCR,16.89,01/09/2019,30/09/2019
Sierra Leone,Leone,SLL,11281.34,01/09/2019,30/09/2019
Singapore,Dollar,SGD,1.6781,01/09/2019,30/09/2019
Soloman Islands,Dollar,SBD,9.7199,01/09/2019,30/09/2019
Somali Republic,Schilling,SOS,703.56,01/09/2019,30/09/2019
South Africa,Rand,ZAR,18.48,01/09/2019,30/09/2019
South Korea,Won,KRW,1458.62,01/09/2019,30/09/2019
Sri Lanka,Rupee,LKR,216.98,01/09/2019,30/09/2019
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.2752,01/09/2019,30/09/2019
St Lucia,E Caribbean Dollar,XCD,3.2752,01/09/2019,30/09/2019
St Vincent,E Caribbean Dollar,XCD,3.2752,01/09/2019,30/09/2019
Sudan Republic,Pound,SDG,54.71,01/09/2019,30/09/2019
Surinam,Dollar,SRD,9.0469,01/09/2019,30/09/2019
Swaziland,Lilangeni,SZL,18.48,01/09/2019,30/09/2019
Sweden,Krona,SEK,11.67,01/09/2019,30/09/2019
Switzerland,Franc,CHF,1.19,01/09/2019,30/09/2019
Taiwan,Dollar,TWD,38.04,01/09/2019,30/09/2019
Tanzania,Schilling,TZS,2788.79,01/09/2019,30/09/2019
Thailand,Baht,THB,37.33,01/09/2019,30/09/2019
Togo Republic,CFA Franc,XOF,717.27,01/09/2019,30/09/2019
Tonga Islands,Pa'anga (AUS),TOP,1.7869,01/09/2019,30/09/2019
Trinidad/Tobago,Dollar,TTD,8.1649,01/09/2019,30/09/2019
Tunisia,Dinar,TND,3.4771,01/09/2019,30/09/2019
Turkey,Turkish  Lira,TRY,6.9526,01/09/2019,30/09/2019
Turkmenistan,New Manat,TMT,4.2457,01/09/2019,30/09/2019
UAE,Dirham,AED,4.4557,01/09/2019,30/09/2019
Uganda,Schilling,UGX,4476.14,01/09/2019,30/09/2019
Ukraine,Hryvnia,UAH,30.52,01/09/2019,30/09/2019
Uruguay,Peso,UYU,44.3,01/09/2019,30/09/2019
USA,Dollar,USD,1.213,01/09/2019,30/09/2019
Uzbekistan,Sum,UZS,10991.42,01/09/2019,30/09/2019
Vanuatu,Vatu,VUV,142.96,01/09/2019,30/09/2019
Venezuela,Bolivar Fuerte,VEF,301389.67,01/09/2019,30/09/2019
Vietnam,Dong,VND,28144.59,01/09/2019,30/09/2019
Wallis & Futuna Islands,CFP Franc,XPF,130.48,01/09/2019,30/09/2019
Western Samoa,Tala,WST,3.2357,01/09/2019,30/09/2019
Yemen (Rep of),Rial,YER,303.14,01/09/2019,30/09/2019
Zambia,Kwacha,ZMW,15.89,01/09/2019,30/09/2019
Zimbabwe,Dollar,ZWL,439,01/09/2019,30/09/2019
