Country,Currency,Currency Code,Currency units per £1,Start date,End date
Argentina,Peso,ARS,23.25,01/10/2017,31/10/2017
Australia,Dollar,AUD,1.6812,01/10/2017,31/10/2017
Brazil,Real,BRL,4.2435,01/10/2017,31/10/2017
Canada,Dollar,CAD,1.6619,01/10/2017,31/10/2017
Denmark,Krone,DKK,8.4144,01/10/2017,31/10/2017
Hong Kong,Dollar,HKD,10.58,01/10/2017,31/10/2017
India,Rupee,INR,87.18,01/10/2017,31/10/2017
Israel,Shekel,ILS,4.7446,01/10/2017,31/10/2017
Japan,Yen,JPY,151.11,01/10/2017,31/10/2017
Malaysia,Ringgit,MYR,5.6801,01/10/2017,31/10/2017
Mexico,Mexican Peso,MXN,24,01/10/2017,31/10/2017
New Zealand,Dollar,NZD,1.8359,01/10/2017,31/10/2017
Norway,Norwegian Krone,NOK,10.57,01/10/2017,31/10/2017
Philippines,Peso,PHP,69.15,01/10/2017,31/10/2017
Saudi Arabia,Riyal,SAR,5.0868,01/10/2017,31/10/2017
Singapore,Dollar,SGD,1.8224,01/10/2017,31/10/2017
South Africa,Rand,ZAR,17.99,01/10/2017,31/10/2017
South Korea,Won,KRW,1530.41,01/10/2017,31/10/2017
Sweden,Krona,SEK,10.78,01/10/2017,31/10/2017
Switzerland,Franc,CHF,1.3047,01/10/2017,31/10/2017
Taiwan,Dollar,TWD,40.81,01/10/2017,31/10/2017
Thailand,Baht,THB,44.85,01/10/2017,31/10/2017
USA,Dollar,USD,1.3564,01/10/2017,31/10/2017
Eurozone,Euro,EUR,1.1307,01/10/2017,31/10/2017
Abu Dhabi,Dirham,AED,4.9822,01/10/2017,31/10/2017
Albania,Lek,ALL,151.4,01/10/2017,31/10/2017
Algeria,Dinar,DZD,151.06,01/10/2017,31/10/2017
Angola,Readj Kwanza,AOA,225.06,01/10/2017,31/10/2017
Antigua,E Caribbean Dollar,XCD,3.6624,01/10/2017,31/10/2017
Armenia,Dram,AMD,648.69,01/10/2017,31/10/2017
Aruba,Florin,AWG,2.428,01/10/2017,31/10/2017
Azerbaijan,New Manat,AZN,2.306,01/10/2017,31/10/2017
Bahamas,Dollar,BSD,1.3564,01/10/2017,31/10/2017
Bahrain,Dinar,BHD,0.5117,01/10/2017,31/10/2017
Bangladesh,Taka,BDT,111.19,01/10/2017,31/10/2017
Barbados,Dollar,BBD,2.7129,01/10/2017,31/10/2017
Belarus,Rouble,BYN,2.7231,01/10/2017,31/10/2017
Belize,Dollar,BZD,2.7112,01/10/2017,31/10/2017
Benin,CFA Franc,XOF,741.72,01/10/2017,31/10/2017
Bermuda,Dollar (US),BMD,1.3564,01/10/2017,31/10/2017
Bhutan,Ngultrum,BTN,87.18,01/10/2017,31/10/2017
Bolivia,Boliviano,BOB,9.3731,01/10/2017,31/10/2017
Bosnia- Herzegovinia,Marka,BAM,2.2116,01/10/2017,31/10/2017
Botswana,Pula,BWP,13.79,01/10/2017,31/10/2017
Brunei,Dollar,BND,1.8224,01/10/2017,31/10/2017
Bulgaria,Lev,BGN,2.2116,01/10/2017,31/10/2017
Burkina Faso,CFA Franc,XOF,741.72,01/10/2017,31/10/2017
Burundi,Franc,BIF,2376.49,01/10/2017,31/10/2017
Cambodia,Riel,KHR,5505.27,01/10/2017,31/10/2017
Cameroon Republic,CFA Franc,XAF,741.72,01/10/2017,31/10/2017
Cape Verde Islands,Escudo,CVE,125.13,01/10/2017,31/10/2017
Cayman Islands,Dollar,KYD,1.1123,01/10/2017,31/10/2017
Central African Republic,CFA Franc,XAF,741.72,01/10/2017,31/10/2017
Chad,CFA Franc,XAF,741.72,01/10/2017,31/10/2017
Chile,Peso,CLP,842.7,01/10/2017,31/10/2017
China,Yuan,CNY,8.9176,01/10/2017,31/10/2017
Colombia,Peso,COP,3927.74,01/10/2017,31/10/2017
Comoros,Franc,KMF,556.29,01/10/2017,31/10/2017
Congo (Brazaville),CFA Franc,XAF,741.72,01/10/2017,31/10/2017
Congo (DemRep),Congo Fr,CDF,2116.73,01/10/2017,31/10/2017
Costa Rica,Colon,CRC,781.55,01/10/2017,31/10/2017
Cote d'Ivoire,CFA Franc,XOF,741.72,01/10/2017,31/10/2017
Croatia,Kuna,HRK,8.4571,01/10/2017,31/10/2017
Cuba,Peso,CUP,1.3564,01/10/2017,31/10/2017
Czech Republic,Koruna,CZK,29.5,01/10/2017,31/10/2017
Djibouti,Franc,DJF,241.06,01/10/2017,31/10/2017
Dominica,E Caribbean Dollar,XCD,3.6624,01/10/2017,31/10/2017
Dominican Republic,Peso,DOP,64.73,01/10/2017,31/10/2017
Dubai,Dirham,AED,4.9822,01/10/2017,31/10/2017
Ecuador,Dollar,ECS,1.3564,01/10/2017,31/10/2017
Egypt,Pound,EGP,23.92,01/10/2017,31/10/2017
El Salvador,Colon,SVC,11.86,01/10/2017,31/10/2017
