Country,Currency,Currency code,Currency units per £1,Start date,End Date
Abu Dhabi,Dirham,AED,4.8313,01/10/2018,31/10/2018
Albania,Lek,ALL,142.57,01/10/2018,31/10/2018
Algeria,Dinar,DZD,155.25,01/10/2018,31/10/2018
Angola,Readj Kwanza,AOA,375.84,01/10/2018,31/10/2018
Antigua,E Caribbean Dollar,XCD,3.5513,01/10/2018,31/10/2018
Argentina,Peso,ARS,51.85,01/10/2018,31/10/2018
Armenia,Dram,AMD,635.93,01/10/2018,31/10/2018
Aruba,Florin,AWG,2.3544,01/10/2018,31/10/2018
Australia,Dollar,AUD,1.8108,01/10/2018,31/10/2018
Azerbaijan,New Manat,AZN,2.2314,01/10/2018,31/10/2018
Bahamas,Dollar,BSD,1.3153,01/10/2018,31/10/2018
Bahrain,Dinar,BHD,0.4959,01/10/2018,31/10/2018
Bangladesh,Taka,BDT,110.33,01/10/2018,31/10/2018
Barbados,Dollar,BBD,2.6306,01/10/2018,31/10/2018
Belarus,Rouble,BYN,2.7621,01/10/2018,31/10/2018
Belize,Dollar,BZD,2.629,01/10/2018,31/10/2018
Benin,CFA Franc,XOF,739.34,01/10/2018,31/10/2018
Bermuda,Dollar (US),BMD,1.3153,01/10/2018,31/10/2018
Bhutan,Ngultrum,BTN,95.39,01/10/2018,31/10/2018
Bolivia,Boliviano,BOB,9.0888,01/10/2018,31/10/2018
Bosnia- Herzegovinia,Marka,BAM,2.2045,01/10/2018,31/10/2018
Botswana,Pula,BWP,14.1431,01/10/2018,31/10/2018
Brazil,Real,BRL,5.4364,01/10/2018,31/10/2018
Brunei,Dollar,BND,1.8021,01/10/2018,31/10/2018
Bulgaria,Lev,BGN,2.2044,01/10/2018,31/10/2018
Burkina Faso,CFA Franc,XOF,739.34,01/10/2018,31/10/2018
Burundi,Franc,BIF,2349.13,01/10/2018,31/10/2018
Cambodia,Riel,KHR,5396.69,01/10/2018,31/10/2018
Cameroon Republic,CFA Franc,XAF,739.34,01/10/2018,31/10/2018
Canada,Dollar,CAD,1.7047,01/10/2018,31/10/2018
Cape Verde Islands,Escudo,CVE,124.36,01/10/2018,31/10/2018
Cayman Islands,Dollar,KYD,1.0786,01/10/2018,31/10/2018
Central African Republic,CFA Franc,XAF,739.34,01/10/2018,31/10/2018
Chad,CFA Franc,XAF,739.34,01/10/2018,31/10/2018
Chile,Peso,CLP,897.56,01/10/2018,31/10/2018
China,Yuan,CNY,9.0131,01/10/2018,31/10/2018
Colombia,Peso,COP,3973.85,01/10/2018,31/10/2018
Comoros,Franc,KMF,554.51,01/10/2018,31/10/2018
Congo (Brazaville),CFA Franc,XAF,739.34,01/10/2018,31/10/2018
Congo (DemRep),Congo Fr,CDF,2137.37,01/10/2018,31/10/2018
Costa Rica,Colon,CRC,760.14,01/10/2018,31/10/2018
Cote d'Ivoire,CFA Franc,XOF,739.34,01/10/2018,31/10/2018
Croatia,Kuna,HRK,8.3713,01/10/2018,31/10/2018
Cuba,Peso,CUP,1.3153,01/10/2018,31/10/2018
Czech Republic,Koruna,CZK,28.72,01/10/2018,31/10/2018
Denmark,Krone,DKK,8.4078,01/10/2018,31/10/2018
Djibouti,Franc,DJF,233.75,01/10/2018,31/10/2018
Dominica,E Caribbean Dollar,XCD,3.5513,01/10/2018,31/10/2018
Dominican Republic,Peso,DOP,65.19,01/10/2018,31/10/2018
Dubai,Dirham,AED,4.8313,01/10/2018,31/10/2018
Ecuador,Dollar,ECS,1.3153,01/10/2018,31/10/2018
Egypt,Pound,EGP,23.55,01/10/2018,31/10/2018
El Salvador,Colon,SVC,11.5,01/10/2018,31/10/2018
Equatorial Guinea,CFA Franc,XAF,739.34,01/10/2018,31/10/2018
Eritrea,Nakfa,ERN,19.72,01/10/2018,31/10/2018
Ethiopia,Birr,ETB,36.42,01/10/2018,31/10/2018
Eurozone,Euro,EUR,1.1271,01/10/2018,31/10/2018
Fiji Islands,Dollar,FJD,2.7891,01/10/2018,31/10/2018
Fr. Polynesia,CFP Franc,XPF,134.5,01/10/2018,31/10/2018
Gabon,CFA Franc,XAF,739.34,01/10/2018,31/10/2018
Gambia,Dalasi,GMD,65.1,01/10/2018,31/10/2018
Georgia,Lari,GEL,3.4395,01/10/2018,31/10/2018
Ghana,Cedi,GHS,6.4055,01/10/2018,31/10/2018
Grenada,E Caribbean Dollar,XCD,3.5513,01/10/2018,31/10/2018
Guatemala,Quetzal,GTQ,10.09,01/10/2018,31/10/2018
Guinea Bissau,CFA Franc,XOF,739.34,01/10/2018,31/10/2018
Guinea Republic,Franc,GNF,11896.94,01/10/2018,31/10/2018
Guyana,Dollar,GYD,274.83,01/10/2018,31/10/2018
Haiti,Gourde,HTG,91.53,01/10/2018,31/10/2018
Honduras,Lempira,HNL,31.62,01/10/2018,31/10/2018
Hong Kong,Dollar,HKD,10.31,01/10/2018,31/10/2018
Hungary,Forint,HUF,364.27,01/10/2018,31/10/2018
Iceland,Krona,ISK,145.17,01/10/2018,31/10/2018
India,Rupee,INR,95.39,01/10/2018,31/10/2018
Indonesia,Rupiah,IDR,19565.18,01/10/2018,31/10/2018
Iraq,Dinar,IQD,1565.21,01/10/2018,31/10/2018
Israel,Shekel,ILS,4.7139,01/10/2018,31/10/2018
Jamaica,Dollar,JMD,178.81,01/10/2018,31/10/2018
Japan,Yen,JPY,147.74,01/10/2018,31/10/2018
Jordan,Dinar,JOD,0.9332,01/10/2018,31/10/2018
Kazakhstan,Tenge,KZT,475.65,01/10/2018,31/10/2018
Kenya,Schilling,KES,132.51,01/10/2018,31/10/2018
Kuwait,Dinar,KWD,0.3981,01/10/2018,31/10/2018
Kyrgyz Republic,Som,KGS,91.28,01/10/2018,31/10/2018
Lao People's Dem Rep,Kip,LAK,11194.55,01/10/2018,31/10/2018
Lebanon,Pound,LBP,1990.05,01/10/2018,31/10/2018
Lesotho,Loti,LSL,19.27,01/10/2018,31/10/2018
Liberia,Dollar (US),LRD,1.3153,01/10/2018,31/10/2018
Libya,Dinar,LYD,1.8217,01/10/2018,31/10/2018
Macao,Pataca,MOP,10.62,01/10/2018,31/10/2018
Macedonia,Denar,MKD,69.4,01/10/2018,31/10/2018
Madagascar,Malagasy Ariary,MGA,4507.55,01/10/2018,31/10/2018
Malawi,Kwacha,MWK,954.49,01/10/2018,31/10/2018
Malaysia,Ringgit,MYR,5.4493,01/10/2018,31/10/2018
Maldive Islands,Rufiyaa,MVR,20.26,01/10/2018,31/10/2018
Mali Republic,CFA Franc,XOF,739.34,01/10/2018,31/10/2018
Mauritania,Ouguiya,MRO,469.95,01/10/2018,31/10/2018
Mauritius,Rupee,MUR,45.11,01/10/2018,31/10/2018
Mexico,Mexican Peso,MXN,24.67,01/10/2018,31/10/2018
Moldova,Leu,MDL,22.1,01/10/2018,31/10/2018
Mongolia,Tugrik,MNT,3307.99,01/10/2018,31/10/2018
Montserrat,E Caribbean Dollar,XCD,3.5513,01/10/2018,31/10/2018
Morocco,Dirham,MAD,12.35,01/10/2018,31/10/2018
Mozambique,Metical,MZN,79.97,01/10/2018,31/10/2018
