Country,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5854,01/10/2019,31/10/2019
Albania,Lek,ALL,136.78,01/10/2019,31/10/2019
Algeria,Dinar,DZD,149.85,01/10/2019,31/10/2019
Angola,Readj Kwanza,AOA,458.67,01/10/2019,31/10/2019
Antigua,E Caribbean Dollar,XCD,3.3705,01/10/2019,31/10/2019
Argentina,Peso,ARS,70.55,01/10/2019,31/10/2019
Armenia,Dram,AMD,594.48,01/10/2019,31/10/2019
Aruba,Florin,AWG,2.2345,01/10/2019,31/10/2019
Australia,Dollar,AUD,1.8247,01/10/2019,31/10/2019
Azerbaijan,New Manat,AZN,2.1178,01/10/2019,31/10/2019
Bahamas,Dollar,BSD,1.2483,01/10/2019,31/10/2019
Bahrain,Dinar,BHD,0.4706,01/10/2019,31/10/2019
Bangladesh,Taka,BDT,105.38,01/10/2019,31/10/2019
Barbados,Dollar,BBD,2.4967,01/10/2019,31/10/2019
Belarus,Rouble,BYN,2.5602,01/10/2019,31/10/2019
Belize,Dollar,BZD,2.4967,01/10/2019,31/10/2019
Benin,CFA Franc,XOF,740.41,01/10/2019,31/10/2019
Bermuda,Dollar (US),BMD,1.2483,01/10/2019,31/10/2019
Bhutan,Ngultrum,BTN,88.93,01/10/2019,31/10/2019
Bolivia,Boliviano,BOB,8.6261,01/10/2019,31/10/2019
Bosnia- Herzegovinia,Marka,BAM,2.2076,01/10/2019,31/10/2019
Botswana,Pula,BWP,13.55,01/10/2019,31/10/2019
Brazil,Real,BRL,5.1205,01/10/2019,31/10/2019
Brunei,Dollar,BND,1.7154,01/10/2019,31/10/2019
Bulgaria,Lev,BGN,2.2076,01/10/2019,31/10/2019
Burkina Faso,CFA Franc,XOF,740.41,01/10/2019,31/10/2019
Burundi,Franc,BIF,2328.16,01/10/2019,31/10/2019
Cambodia,Riel,KHR,5130.7,01/10/2019,31/10/2019
Cameroon Republic,CFA Franc,XAF,740.41,01/10/2019,31/10/2019
Canada,Dollar,CAD,1.6559,01/10/2019,31/10/2019
Cape Verde Islands,Escudo,CVE,124.63,01/10/2019,31/10/2019
Cayman Islands,Dollar,KYD,1.0236,01/10/2019,31/10/2019
Central African Republic,CFA Franc,XAF,740.41,01/10/2019,31/10/2019
Chad,CFA Franc,XAF,740.41,01/10/2019,31/10/2019
Chile,Peso,CLP,894.7,01/10/2019,31/10/2019
China,Yuan,CNY,8.8482,01/10/2019,31/10/2019
Colombia,Peso,COP,4221.1,01/10/2019,31/10/2019
Comoros,Franc,KMF,555.31,01/10/2019,31/10/2019
Congo (Brazaville),CFA Franc,XAF,740.41,01/10/2019,31/10/2019
Congo (DemRep),Congo Fr,CDF,2075.37,01/10/2019,31/10/2019
Costa Rica,Colon,CRC,721.23,01/10/2019,31/10/2019
Cote d'Ivoire,CFA Franc,XOF,740.41,01/10/2019,31/10/2019
Croatia,Kuna,HRK,8.3507,01/10/2019,31/10/2019
Cuba,Peso,CUP,1.2483,01/10/2019,31/10/2019
Czech Republic,Koruna,CZK,29.23,01/10/2019,31/10/2019
Denmark,Krone,DKK,8.4291,01/10/2019,31/10/2019
Djibouti,Franc,DJF,221.85,01/10/2019,31/10/2019
Dominica,E Caribbean Dollar,XCD,3.3705,01/10/2019,31/10/2019
Dominican Republic,Peso,DOP,64.6,01/10/2019,31/10/2019
Dubai,Dirham,AED,4.5854,01/10/2019,31/10/2019
Ecuador,Dollar,ECS,1.2483,01/10/2019,31/10/2019
Egypt,Pound,EGP,20.4,01/10/2019,31/10/2019
El Salvador,Colon,SVC,10.92,01/10/2019,31/10/2019
Equatorial Guinea,CFA Franc,XAF,740.41,01/10/2019,31/10/2019
Eritrea,Nakfa,ERN,18.72,01/10/2019,31/10/2019
Ethiopia,Birr,ETB,36.65,01/10/2019,31/10/2019
Eurozone,Euro,EUR,1.1288,01/10/2019,31/10/2019
Fiji Islands,Dollar,FJD,2.7137,01/10/2019,31/10/2019
Fr. Polynesia,CFP Franc,XPF,134.69,01/10/2019,31/10/2019
Gabon,CFA Franc,XAF,740.41,01/10/2019,31/10/2019
Gambia,Dalasi,GMD,63.41,01/10/2019,31/10/2019
Georgia,Lari,GEL,3.7013,01/10/2019,31/10/2019
Ghana,Cedi,GHS,6.8534,01/10/2019,31/10/2019
Grenada,E Caribbean Dollar,XCD,3.3705,01/10/2019,31/10/2019
Guatemala,Quetzal,GTQ,9.6158,01/10/2019,31/10/2019
Guinea Bissau,CFA Franc,XOF,740.41,01/10/2019,31/10/2019
Guinea Republic,Franc,GNF,11519.11,01/10/2019,31/10/2019
Guyana,Dollar,GYD,260.72,01/10/2019,31/10/2019
Haiti,Gourde,HTG,116.47,01/10/2019,31/10/2019
Honduras,Lempira,HNL,30.72,01/10/2019,31/10/2019
Hong Kong,Dollar,HKD,9.7723,01/10/2019,31/10/2019
Hungary,Forint,HUF,375.7,01/10/2019,31/10/2019
Iceland,Krona,ISK,154.39,01/10/2019,31/10/2019
India,Rupee,INR,88.93,01/10/2019,31/10/2019
Indonesia,Rupiah,IDR,17551.77,01/10/2019,31/10/2019
Iraq,Dinar,IQD,1485.53,01/10/2019,31/10/2019
Israel,Shekel,ILS,4.405,01/10/2019,31/10/2019
Jamaica,Dollar,JMD,170.2,01/10/2019,31/10/2019
Japan,Yen,JPY,135.1,01/10/2019,31/10/2019
Jordan,Dinar,JOD,0.8851,01/10/2019,31/10/2019
Kazakhstan,Tenge,KZT,483.14,01/10/2019,31/10/2019
Kenya,Schilling,KES,129.82,01/10/2019,31/10/2019
Kuwait,Dinar,KWD,0.3795,01/10/2019,31/10/2019
Kyrgyz Republic,Som,KGS,87.12,01/10/2019,31/10/2019
Lao People's Dem Rep,Kip,LAK,10997.92,01/10/2019,31/10/2019
Lebanon,Pound,LBP,1883.12,01/10/2019,31/10/2019
Lesotho,Loti,LSL,18.27,01/10/2019,31/10/2019
Liberia,Dollar (US),LRD,1.2483,01/10/2019,31/10/2019
Libya,Dinar,LYD,1.7602,01/10/2019,31/10/2019
Macao,Pataca,MOP,10.06,01/10/2019,31/10/2019
Macedonia,Denar,MKD,69.5,01/10/2019,31/10/2019
Madagascar,Malagasy Ariary,MGA,4670.68,01/10/2019,31/10/2019
Malawi,Kwacha,MWK,920.96,01/10/2019,31/10/2019
Malaysia,Ringgit,MYR,5.2231,01/10/2019,31/10/2019
Maldive Islands,Rufiyaa,MVR,19.28,01/10/2019,31/10/2019
Mali Republic,CFA Franc,XOF,740.41,01/10/2019,31/10/2019
Mauritania,Ouguiya,MRO,446.03,01/10/2019,31/10/2019
Mauritius,Rupee,MUR,45.21,01/10/2019,31/10/2019
Mexico,Mexican Peso,MXN,24.17,01/10/2019,31/10/2019
Moldova,Leu,MDL,22.01,01/10/2019,31/10/2019
Mongolia,Tugrik,MNT,3330.58,01/10/2019,31/10/2019
Montserrat,E Caribbean Dollar,XCD,3.3705,01/10/2019,31/10/2019
Morocco,Dirham,MAD,12.08,01/10/2019,31/10/2019
Mozambique,Metical,MZN,76.89,01/10/2019,31/10/2019
Myanmar,Kyat,MMK,1916.58,01/10/2019,31/10/2019
