Country,Currency,Currency code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5152,01/11/2016,30/11/2016
Albania,Lek,ALL,153.21,01/11/2016,30/11/2016
Algeria,Dinar,DZD,135.66,01/11/2016,30/11/2016
Angola,Readj Kwanza,AOA,203.74,01/11/2016,30/11/2016
Antigua,E Caribbean Dollar,XCD,3.3191,01/11/2016,30/11/2016
Argentina,Peso,ARS,18.69,01/11/2016,30/11/2016
Armenia,Dram,AMD,584.32,01/11/2016,30/11/2016
Aruba,Florin,AWG,2.2004,01/11/2016,30/11/2016
Australia,Dollar,AUD,1.5983,01/11/2016,30/11/2016
Azerbaijan,New Manat,AZN,1.9816,01/11/2016,30/11/2016
Bahamas,Dollar,BSD,1.2293,01/11/2016,30/11/2016
Bahrain,Dinar,BHD,0.4635,01/11/2016,30/11/2016
Bangladesh,Taka,BDT,96.41,01/11/2016,30/11/2016
Barbados,Dollar,BBD,2.4586,01/11/2016,30/11/2016
Belarus,Rouble,BYR,2.4678,01/11/2016,30/11/2016
Belize,Dollar,BZD,2.4709,01/11/2016,30/11/2016
Benin,CFA Franc,XOF,735.23,01/11/2016,30/11/2016
Bermuda,Dollar (US),BMD,1.2293,01/11/2016,30/11/2016
Bhutan,Ngultrum,BTN,81.98,01/11/2016,30/11/2016
Bolivia,Boliviano,BOB,8.5252,01/11/2016,30/11/2016
Bosnia- Herzegovinia,Marka,BAM,2.1922,01/11/2016,30/11/2016
Botswana,Pula,BWP,13.09,01/11/2016,30/11/2016
Brazil,Real,BRL,3.8965,01/11/2016,30/11/2016
Brunei,Dollar,BND,1.7052,01/11/2016,30/11/2016
Bulgaria,Lev,BGN,2.1923,01/11/2016,30/11/2016
Burkina Faso,CFA Franc,XOF,735.23,01/11/2016,30/11/2016
Burundi,Franc,BIF,2060.49,01/11/2016,30/11/2016
Cambodia,Riel,KHR,5003.25,01/11/2016,30/11/2016
Cameroon Republic,CFA Franc,XAF,735.23,01/11/2016,30/11/2016
Canada,Dollar,CAD,1.5999,01/11/2016,30/11/2016
Cape Verde Islands,Escudo,CVE,123.39,01/11/2016,30/11/2016
Cayman Islands,Dollar,KYD,1.008,01/11/2016,30/11/2016
Central African Republic,CFA Franc,XAF,735.23,01/11/2016,30/11/2016
Chad,CFA Franc,XAF,735.23,01/11/2016,30/11/2016
Chile,Peso,CLP,819.87,01/11/2016,30/11/2016
China,Yuan,CNY,8.2846,01/11/2016,30/11/2016
Colombia,Peso,COP,3576.17,01/11/2016,30/11/2016
Comoros,Franc,KMF,551.42,01/11/2016,30/11/2016
Congo (Brazaville),CFA Franc,XAF,735.23,01/11/2016,30/11/2016
Congo (DemRep),Congo Fr,CDF,1193.65,01/11/2016,30/11/2016
Costa Rica,Colon,CRC,678.96,01/11/2016,30/11/2016
Cote d'Ivoire,CFA Franc,XOF,735.23,01/11/2016,30/11/2016
Croatia,Kuna,HRK,8.4176,01/11/2016,30/11/2016
Cuba,Peso,CUP,1.2293,01/11/2016,30/11/2016
Czech Republic,Koruna,CZK,30.28,01/11/2016,30/11/2016
Denmark,Krone,DKK,8.3409,01/11/2016,30/11/2016
Djibouti,Franc,DJF,218.47,01/11/2016,30/11/2016
Dominica,E Caribbean Dollar,XCD,3.3191,01/11/2016,30/11/2016
Dominican Republic,Peso,DOP,56.78,01/11/2016,30/11/2016
Dubai,Dirham,AED,4.5152,01/11/2016,30/11/2016
Ecuador,Dollar,ECS,1.2293,01/11/2016,30/11/2016
Egypt,Pound,EGP,10.91,01/11/2016,30/11/2016
El Salvador,Colon,SVC,10.76,01/11/2016,30/11/2016
Equatorial Guinea,CFA Franc,XAF,735.23,01/11/2016,30/11/2016
Eritrea,Nakfa,ERN,18.43,01/11/2016,30/11/2016
Ethiopia,Birr,ETB,27.32,01/11/2016,30/11/2016
Eurozone,Euro,EUR,1.1209,01/11/2016,30/11/2016
Fiji Islands,Dollar,FJD,2.5345,01/11/2016,30/11/2016
Fr. Polynesia,CFP Franc,XPF,133.75,01/11/2016,30/11/2016
Gabon,CFA Franc,XAF,735.23,01/11/2016,30/11/2016
Gambia,Dalasi,GMD,52.63,01/11/2016,30/11/2016
Georgia,Lari,GEL,2.895,01/11/2016,30/11/2016
Ghana,Cedi,GHS,4.8753,01/11/2016,30/11/2016
Grenada,E Caribbean Dollar,XCD,3.3191,01/11/2016,30/11/2016
Guatemala,Quetzal,GTQ,9.2081,01/11/2016,30/11/2016
Guinea Bissau,CFA Franc,XOF,735.23,01/11/2016,30/11/2016
Guinea Republic,Franc,GNF,11171.89,01/11/2016,30/11/2016
Guyana,Dollar,GYD,255.3,01/11/2016,30/11/2016
Haiti,Gourde,HTG,80.86,01/11/2016,30/11/2016
Honduras,Lempira,HNL,28.37,01/11/2016,30/11/2016
Hong Kong,Dollar,HKD,9.5364,01/11/2016,30/11/2016
Hungary,Forint,HUF,344.02,01/11/2016,30/11/2016
Iceland,Krona,ISK,140.35,01/11/2016,30/11/2016
India,Rupee,INR,81.98,01/11/2016,30/11/2016
Indonesia,Rupiah,IDR,15990.15,01/11/2016,30/11/2016
Iraq,Dinar,IQD,1453.03,01/11/2016,30/11/2016
Israel,Shekel,ILS,4.7058,01/11/2016,30/11/2016
Jamaica,Dollar,JMD,157.84,01/11/2016,30/11/2016
Japan,Yen,JPY,126.99,01/11/2016,30/11/2016
Jordan,Dinar,JOD,0.8716,01/11/2016,30/11/2016
Kazakhstan,Tenge,KZT,407.88,01/11/2016,30/11/2016
Kenya,Schilling,KES,124.65,01/11/2016,30/11/2016
Kuwait,Dinar,KWD,0.3717,01/11/2016,30/11/2016
Kyrgyz Republic,Som,KGS,84.02,01/11/2016,30/11/2016
Lao People's Dem Rep,Kip,LAK,10012.66,01/11/2016,30/11/2016
Lebanon,Pound,LBP,1856.12,01/11/2016,30/11/2016
Lesotho,Loti,LSL,17.05,01/11/2016,30/11/2016
Liberia,Dollar (US),LRD,1.2293,01/11/2016,30/11/2016
Libya,Dinar,LYD,1.7149,01/11/2016,30/11/2016
Macao,Pataca,MOP,9.8225,01/11/2016,30/11/2016
Macedonia,Denar,MKD,69.01,01/11/2016,30/11/2016
Madagascar,Malagasy Ariary,MGA,3954.66,01/11/2016,30/11/2016
Malawi,Kwacha,MWK,885.09,01/11/2016,30/11/2016
Malaysia,Ringgit,MYR,5.1538,01/11/2016,30/11/2016
Maldive Islands,Rufiyaa,MVR,18.93,01/11/2016,30/11/2016
Mali Republic,CFA Franc,XOF,735.23,01/11/2016,30/11/2016
Mauritania,Ouguiya,MRO,440.09,01/11/2016,30/11/2016
Mauritius,Rupee,MUR,43.73,01/11/2016,30/11/2016
Mexico,Mexican Peso,MXN,22.84,01/11/2016,30/11/2016
Moldova,Leu,MDL,24.52,01/11/2016,30/11/2016
Mongolia,Tugrik,MNT,2849.52,01/11/2016,30/11/2016
Montserrat,E Caribbean Dollar,XCD,3.3191,01/11/2016,30/11/2016
Morocco,Dirham,MAD,12.12,01/11/2016,30/11/2016
Mozambique,Metical,MZN,96.26,01/11/2016,30/11/2016
Myanmar,Kyat,MMK,1586.72,01/11/2016,30/11/2016
