Country,Currency,Currency Code,Currency units per £ 1,Start date,End date
Abu Dhabi,Dirham,AED,4.8375,01/11/2017,30/11/2017
Albania,Lek,ALL,149.41,01/11/2017,30/11/2017
Algeria,Dinar,DZD,150.47,01/11/2017,30/11/2017
Angola,Readj Kwanza,AOA,218.52,01/11/2017,30/11/2017
Antigua,E Caribbean Dollar,XCD,3.55,01/11/2017,30/11/2017
Argentina,Peso,ARS,22.82,01/11/2017,30/11/2017
Armenia,Dram,AMD,634.13,01/11/2017,30/11/2017
Aruba,Florin,AWG,2.3574,01/11/2017,30/11/2017
Australia,Dollar,AUD,1.6807,01/11/2017,30/11/2017
Azerbaijan,New Manat,AZN,2.2369,01/11/2017,30/11/2017
Bahamas,Dollar,BSD,1.317,01/11/2017,30/11/2017
Bahrain,Dinar,BHD,0.4964,01/11/2017,30/11/2017
Bangladesh,Taka,BDT,108.57,01/11/2017,30/11/2017
Barbados,Dollar,BBD,2.634,01/11/2017,30/11/2017
Belarus,Rouble,BYN,2.6439,01/11/2017,30/11/2017
Belize,Dollar,BZD,2.6324,01/11/2017,30/11/2017
Benin,CFA Franc,XOF,733.57,01/11/2017,30/11/2017
Bermuda,Dollar (US),BMD,1.317,01/11/2017,30/11/2017
Bhutan,Ngultrum,BTN,85.75,01/11/2017,30/11/2017
Bolivia,Boliviano,BOB,9.1005,01/11/2017,30/11/2017
Bosnia and Herzegovinia,Marka,BAM,2.1873,01/11/2017,30/11/2017
Botswana,Pula,BWP,13.6,01/11/2017,30/11/2017
Brazil,Real,BRL,4.1728,01/11/2017,30/11/2017
Brunei,Dollar,BND,1.7884,01/11/2017,30/11/2017
Bulgaria,Lev,BGN,2.1875,01/11/2017,30/11/2017
Burkina Faso,CFA Franc,XOF,733.57,01/11/2017,30/11/2017
Burundi,Franc,BIF,2311.33,01/11/2017,30/11/2017
Cambodia,Riel,KHR,5325.95,01/11/2017,30/11/2017
Cameroon Republic,CFA Franc,XAF,733.57,01/11/2017,30/11/2017
Canada,Dollar,CAD,1.6434,01/11/2017,30/11/2017
Cape Verde Islands,Escudo,CVE,123.66,01/11/2017,30/11/2017
Cayman Islands,Dollar,KYD,1.0799,01/11/2017,30/11/2017
