Country name,Currency name,Currency code,Currency Units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.7427,01/11/2018,30/11/2018
Albania,Lek,ALL,141.38,01/11/2018,30/11/2018
Algeria,Dinar,DZD,153.89,01/11/2018,30/11/2018
Angola,Readj Kwanza,AOA,393.96,01/11/2018,30/11/2018
Antigua,E Caribbean Dollar,XCD,3.4863,01/11/2018,30/11/2018
Argentina,Peso,ARS,47.1,01/11/2018,30/11/2018
Armenia,Dram,AMD,625.8,01/11/2018,30/11/2018
Aruba,Florin,AWG,2.3113,01/11/2018,30/11/2018
Australia,Dollar,AUD,1.8244,01/11/2018,30/11/2018
Azerbaijan,New Manat,AZN,2.1905,01/11/2018,30/11/2018
Bahamas,Dollar,BSD,1.2912,01/11/2018,30/11/2018
Bahrain,Dinar,BHD,0.4867,01/11/2018,30/11/2018
Bangladesh,Taka,BDT,108.22,01/11/2018,30/11/2018
Barbados,Dollar,BBD,2.5824,01/11/2018,30/11/2018
Belarus,Rouble,BYN,2.7154,01/11/2018,30/11/2018
Belize,Dollar,BZD,2.5808,01/11/2018,30/11/2018
Benin,CFA Franc,XOF,743.22,01/11/2018,30/11/2018
Bermuda,Dollar (US),BMD,1.2912,01/11/2018,30/11/2018
Bhutan,Ngultrum,BTN,94.52,01/11/2018,30/11/2018
Bolivia,Boliviano,BOB,8.9222,01/11/2018,30/11/2018
Bosnia- Herzegovinia,Marka,BAM,2.216,01/11/2018,30/11/2018
Botswana,Pula,BWP,13.89,01/11/2018,30/11/2018
Brazil,Real,BRL,4.8019,01/11/2018,30/11/2018
Brunei,Dollar,BND,1.782,01/11/2018,30/11/2018
Bulgaria,Lev,BGN,2.216,01/11/2018,30/11/2018
Burkina Faso,CFA Franc,XOF,743.22,01/11/2018,30/11/2018
Burundi,Franc,BIF,2340.84,01/11/2018,30/11/2018
Cambodia,Riel,KHR,5255.2,01/11/2018,30/11/2018
Cameroon Republic,CFA Franc,XAF,743.22,01/11/2018,30/11/2018
Canada,Dollar,CAD,1.68,01/11/2018,30/11/2018
Cape Verde Islands,Escudo,CVE,124.6,01/11/2018,30/11/2018
Cayman Islands,Dollar,KYD,1.0588,01/11/2018,30/11/2018
Central African Republic,CFA Franc,XAF,743.22,01/11/2018,30/11/2018
Chad,CFA Franc,XAF,743.22,01/11/2018,30/11/2018
Chile,Peso,CLP,889.29,01/11/2018,30/11/2018
China,Yuan,CNY,8.9611,01/11/2018,30/11/2018
Colombia,Peso,COP,4069.13,01/11/2018,30/11/2018
Comoros,Franc,KMF,557.41,01/11/2018,30/11/2018
Congo (Brazaville),CFA Franc,XAF,743.22,01/11/2018,30/11/2018
Congo (DemRep),Congo Fr,CDF,2093.04,01/11/2018,30/11/2018
Costa Rica,Colon,CRC,765.89,01/11/2018,30/11/2018
Cote d'Ivoire,CFA Franc,XOF,743.22,01/11/2018,30/11/2018
Croatia,Kuna,HRK,8.4156,01/11/2018,30/11/2018
Cuba,Peso,CUP,1.2912,01/11/2018,30/11/2018
Czech Republic,Koruna,CZK,29.28,01/11/2018,30/11/2018
