Country/Territories,Currency,currencyCode,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.7317,01/11/2019,30/11/2019
Albania,Lek,ALL,142.6,01/11/2019,30/11/2019
Algeria,Dinar,DZD,154.07,01/11/2019,30/11/2019
Angola,Readj Kwanza,AOA,586.4,01/11/2019,30/11/2019
Antigua,E Caribbean Dollar,XCD,3.4781,01/11/2019,30/11/2019
Argentina,Peso,ARS,75.86,01/11/2019,30/11/2019
Armenia,Dram,AMD,613.16,01/11/2019,30/11/2019
Aruba,Florin,AWG,2.3059,01/11/2019,30/11/2019
Australia,Dollar,AUD,1.8821,01/11/2019,30/11/2019
Azerbaijan,New Manat,AZN,2.1854,01/11/2019,30/11/2019
Bahamas,Dollar,BSD,1.2882,01/11/2019,30/11/2019
Bahrain,Dinar,BHD,0.4856,01/11/2019,30/11/2019
Bangladesh,Taka,BDT,109.08,01/11/2019,30/11/2019
Barbados,Dollar,BBD,2.5764,01/11/2019,30/11/2019
Belarus,Rouble,BYN,2.6309,01/11/2019,30/11/2019
Belize,Dollar,BZD,2.5764,01/11/2019,30/11/2019
Benin,CFA Franc,XOF,760.16,01/11/2019,30/11/2019
Bermuda,Dollar (US),BMD,1.2882,01/11/2019,30/11/2019
Bhutan,Ngultrum,BTN,91.35,01/11/2019,30/11/2019
Bolivia,Boliviano,BOB,8.9014,01/11/2019,30/11/2019
Bosnia- Herzegovinia,Marka,BAM,2.2665,01/11/2019,30/11/2019
Botswana,Pula,BWP,13.94,01/11/2019,30/11/2019
Brazil,Real,BRL,5.2385,01/11/2019,30/11/2019
Brunei,Dollar,BND,1.7561,01/11/2019,30/11/2019
Bulgaria,Lev,BGN,2.2665,01/11/2019,30/11/2019
Burkina Faso,CFA Franc,XOF,760.16,01/11/2019,30/11/2019
Burundi,Franc,BIF,2408.92,01/11/2019,30/11/2019
Cambodia,Riel,KHR,5230.07,01/11/2019,30/11/2019
Cameroon Republic,CFA Franc,XAF,760.16,01/11/2019,30/11/2019
Canada,Dollar,CAD,1.687,01/11/2019,30/11/2019
Cape Verde Islands,Escudo,CVE,128.17,01/11/2019,30/11/2019
Cayman Islands,Dollar,KYD,1.0563,01/11/2019,30/11/2019
Central African Republic,CFA Franc,XAF,760.16,01/11/2019,30/11/2019
Chad,CFA Franc,XAF,760.16,01/11/2019,30/11/2019
Chile,Peso,CLP,936.06,01/11/2019,30/11/2019
China,Yuan,CNY,9.1131,01/11/2019,30/11/2019
Colombia,Peso,COP,4388.79,01/11/2019,30/11/2019
Comoros,Franc,KMF,570.12,01/11/2019,30/11/2019
Congo (Brazaville),CFA Franc,XAF,760.16,01/11/2019,30/11/2019
Congo (DemRep),Congo Fr,CDF,2144.84,01/11/2019,30/11/2019
Costa Rica,Colon,CRC,749.53,01/11/2019,30/11/2019
Cote d'Ivoire,CFA Franc,XOF,760.16,01/11/2019,30/11/2019
Croatia,Kuna,HRK,8.6234,01/11/2019,30/11/2019
Cuba,Peso,CUP,1.2882,01/11/2019,30/11/2019
Czech Republic,Koruna,CZK,29.69,01/11/2019,30/11/2019
Denmark,Krone,DKK,8.6574,01/11/2019,30/11/2019
Djibouti,Franc,DJF,228.93,01/11/2019,30/11/2019
Dominica,E Caribbean Dollar,XCD,3.4781,01/11/2019,30/11/2019
Dominican Republic,Peso,DOP,68.13,01/11/2019,30/11/2019
Dubai,Dirham,AED,4.7317,01/11/2019,30/11/2019
Ecuador,Dollar,ECS,1.2882,01/11/2019,30/11/2019
Egypt,Pound,EGP,20.85,01/11/2019,30/11/2019
El Salvador,Colon,SVC,11.27,01/11/2019,30/11/2019
Equatorial Guinea,CFA Franc,XAF,760.16,01/11/2019,30/11/2019
Eritrea,Nakfa,ERN,19.32,01/11/2019,30/11/2019
Ethiopia,Birr,ETB,38.04,01/11/2019,30/11/2019
Eurozone,Euro,EUR,1.1589,01/11/2019,30/11/2019
Fiji Islands,Dollar,FJD,2.8117,01/11/2019,30/11/2019
Fr. Polynesia,CFP Franc,XPF,138.28,01/11/2019,30/11/2019
Gabon,CFA Franc,XAF,760.16,01/11/2019,30/11/2019
Gambia,Dalasi,GMD,66.15,01/11/2019,30/11/2019
Georgia,Lari,GEL,3.8105,01/11/2019,30/11/2019
Ghana,Cedi,GHS,7.0593,01/11/2019,30/11/2019
Grenada,E Caribbean Dollar,XCD,3.4781,01/11/2019,30/11/2019
Guatemala,Quetzal,GTQ,10,01/11/2019,30/11/2019
Guinea Bissau,CFA Franc,XOF,760.16,01/11/2019,30/11/2019
Guinea Republic,Franc,GNF,11973.2,01/11/2019,30/11/2019
Guyana,Dollar,GYD,268.68,01/11/2019,30/11/2019
Haiti,Gourde,HTG,117.9,01/11/2019,30/11/2019
Honduras,Lempira,HNL,31.74,01/11/2019,30/11/2019
Hong Kong,Dollar,HKD,10.1,01/11/2019,30/11/2019
Hungary,Forint,HUF,380.39,01/11/2019,30/11/2019
Iceland,Krona,ISK,160.72,01/11/2019,30/11/2019
India,Rupee,INR,91.35,01/11/2019,30/11/2019
Indonesia,Rupiah,IDR,18072.1,01/11/2019,30/11/2019
Iraq,Dinar,IQD,1533.59,01/11/2019,30/11/2019
Israel,Shekel,ILS,4.5464,01/11/2019,30/11/2019
Jamaica,Dollar,JMD,178.02,01/11/2019,30/11/2019
Japan,Yen,JPY,139.92,01/11/2019,30/11/2019
Jordan,Dinar,JOD,0.9133,01/11/2019,30/11/2019
Kazakhstan,Tenge,KZT,501.78,01/11/2019,30/11/2019
Kenya,Schilling,KES,133.19,01/11/2019,30/11/2019
Kuwait,Dinar,KWD,0.391,01/11/2019,30/11/2019
Kyrgyz Republic,Som,KGS,89.93,01/11/2019,30/11/2019
Lao People's Dem Rep,Kip,LAK,11381.2,01/11/2019,30/11/2019
Lebanon,Pound,LBP,1947.75,01/11/2019,30/11/2019
Lesotho,Loti,LSL,18.84,01/11/2019,30/11/2019
Liberia,Dollar (US),LRD,1.2882,01/11/2019,30/11/2019
Libya,Dinar,LYD,1.8099,01/11/2019,30/11/2019
Macao,Pataca,MOP,10.4,01/11/2019,30/11/2019
Macedonia,Denar,MKD,71.35,01/11/2019,30/11/2019
Madagascar,Malagasy Ariary,MGA,4801.74,01/11/2019,30/11/2019
