country,currency,currency Code,Currency units per £1,Start Date,End Date 
Abu Dhabi,Dirham,AED,4.6934,01/12/2018,31/12/2018
Albania,Lek,ALL,139.53,01/12/2018,31/12/2018
Algeria,Dinar,DZD,151.54,01/12/2018,31/12/2018
Angola,Readj Kwanza,AOA,396.62,01/12/2018,31/12/2018
Antigua,E Caribbean Dollar,XCD,3.45,01/12/2018,31/12/2018
Argentina,Peso,ARS,46.32,01/12/2018,31/12/2018
Armenia,Dram,AMD,618.82,01/12/2018,31/12/2018
Aruba,Florin,AWG,2.2872,01/12/2018,31/12/2018
Australia,Dollar,AUD,1.7594,01/12/2018,31/12/2018
Azerbaijan,New Manat,AZN,2.1678,01/12/2018,31/12/2018
Bahamas,Dollar,BSD,1.2778,01/12/2018,31/12/2018
Bahrain,Dinar,BHD,0.4817,01/12/2018,31/12/2018
Bangladesh,Taka,BDT,107.17,01/12/2018,31/12/2018
Barbados,Dollar,BBD,2.5556,01/12/2018,31/12/2018
Belarus,Rouble,BYN,2.6904,01/12/2018,31/12/2018
Belize,Dollar,BZD,2.554,01/12/2018,31/12/2018
Benin,CFA Franc,XOF,735.62,01/12/2018,31/12/2018
Bermuda,Dollar (US),BMD,1.2778,01/12/2018,31/12/2018
Bhutan,Ngultrum,BTN,91.34,01/12/2018,31/12/2018
Bolivia,Boliviano,BOB,8.8295,01/12/2018,31/12/2018
Bosnia- Herzegovinia,Marka,BAM,2.1934,01/12/2018,31/12/2018
Botswana,Pula,BWP,13.5,01/12/2018,31/12/2018
Brazil,Real,BRL,4.8461,01/12/2018,31/12/2018
Brunei,Dollar,BND,1.7537,01/12/2018,31/12/2018
Bulgaria,Lev,BGN,2.1933,01/12/2018,31/12/2018
Burkina Faso,CFA Franc,XOF,735.62,01/12/2018,31/12/2018
Burundi,Franc,BIF,2296.56,01/12/2018,31/12/2018
Cambodia,Riel,KHR,5163.55,01/12/2018,31/12/2018
Cameroon Republic,CFA Franc,XAF,735.62,01/12/2018,31/12/2018
Canada,Dollar,CAD,1.6988,01/12/2018,31/12/2018
Cape Verde Islands,Escudo,CVE,124.09,01/12/2018,31/12/2018
Cayman Islands,Dollar,KYD,1.0478,01/12/2018,31/12/2018
Central African Republic,CFA Franc,XAF,735.62,01/12/2018,31/12/2018
Chad,CFA Franc,XAF,735.62,01/12/2018,31/12/2018
Chile,Peso,CLP,885.34,01/12/2018,31/12/2018
China,Yuan,CNY,8.8669,01/12/2018,31/12/2018
Colombia,Peso,COP,4091.47,01/12/2018,31/12/2018
Comoros,Franc,KMF,551.72,01/12/2018,31/12/2018
Congo (Brazaville),CFA Franc,XAF,735.62,01/12/2018,31/12/2018
Congo (DemRep),Congo Fr,CDF,2071.3,01/12/2018,31/12/2018
Costa Rica,Colon,CRC,766.92,01/12/2018,31/12/2018
Cote d'Ivoire,CFA Franc,XOF,735.62,01/12/2018,31/12/2018
Croatia,Kuna,HRK,8.3346,01/12/2018,31/12/2018
Cuba,Peso,CUP,1.2778,01/12/2018,31/12/2018
Czech Republic,Koruna,CZK,29.16,01/12/2018,31/12/2018
Denmark,Krone,DKK,8.3679,01/12/2018,31/12/2018
Djibouti,Franc,DJF,227.08,01/12/2018,31/12/2018
Dominica,E Caribbean Dollar,XCD,3.45,01/12/2018,31/12/2018
Dominican Republic,Peso,DOP,63.72,01/12/2018,31/12/2018
Dubai,Dirham,AED,4.6934,01/12/2018,31/12/2018
Ecuador,Dollar,ECS,1.2778,01/12/2018,31/12/2018
Egypt,Pound,EGP,22.94,01/12/2018,31/12/2018
El Salvador,Colon,SVC,11.18,01/12/2018,31/12/2018
Equatorial Guinea,CFA Franc,XAF,735.62,01/12/2018,31/12/2018
Eritrea,Nakfa,ERN,19.16,01/12/2018,31/12/2018
Ethiopia,Birr,ETB,35.6,01/12/2018,31/12/2018
Eurozone,Euro,EUR,1.1215,01/12/2018,31/12/2018
Fiji Islands,Dollar,FJD,2.7041,01/12/2018,31/12/2018
Fr. Polynesia,CFP Franc,XPF,133.82,01/12/2018,31/12/2018
Gabon,CFA Franc,XAF,735.62,01/12/2018,31/12/2018
Gambia,Dalasi,GMD,63.26,01/12/2018,31/12/2018
Georgia,Lari,GEL,3.3925,01/12/2018,31/12/2018
Ghana,Cedi,GHS,6.1845,01/12/2018,31/12/2018
Grenada,E Caribbean Dollar,XCD,3.45,01/12/2018,31/12/2018
Guatemala,Quetzal,GTQ,9.8317,01/12/2018,31/12/2018
Guinea Bissau,CFA Franc,XOF,735.62,01/12/2018,31/12/2018
Guinea Republic,Franc,GNF,11604.28,01/12/2018,31/12/2018
Guyana,Dollar,GYD,266.57,01/12/2018,31/12/2018
Haiti,Gourde,HTG,93.9,01/12/2018,31/12/2018
Honduras,Lempira,HNL,31,01/12/2018,31/12/2018
Hong Kong,Dollar,HKD,10,01/12/2018,31/12/2018
Hungary,Forint,HUF,360.72,01/12/2018,31/12/2018
Iceland,Krona,ISK,158.35,01/12/2018,31/12/2018
India,Rupee,INR,91.34,01/12/2018,31/12/2018
Indonesia,Rupiah,IDR,18662.18,01/12/2018,31/12/2018
Iraq,Dinar,IQD,1520.57,01/12/2018,31/12/2018
Israel,Shekel,ILS,4.7651,01/12/2018,31/12/2018
Jamaica,Dollar,JMD,160.76,01/12/2018,31/12/2018
Japan,Yen,JPY,144.35,01/12/2018,31/12/2018
Jordan,Dinar,JOD,0.907,01/12/2018,31/12/2018
Kazakhstan,Tenge,KZT,470.63,01/12/2018,31/12/2018
Kenya,Schilling,KES,130.71,01/12/2018,31/12/2018
Kuwait,Dinar,KWD,0.3886,01/12/2018,31/12/2018
Kyrgyz Republic,Som,KGS,89.22,01/12/2018,31/12/2018
Lao People's Dem Rep,Kip,LAK,10918.73,01/12/2018,31/12/2018
Lebanon,Pound,LBP,1933.29,01/12/2018,31/12/2018
Lesotho,Loti,LSL,17.77,01/12/2018,31/12/2018
Liberia,Dollar (US),LRD,1.2778,01/12/2018,31/12/2018
Libya,Dinar,LYD,1.7953,01/12/2018,31/12/2018
Macao,Pataca,MOP,10.3,01/12/2018,31/12/2018
Macedonia,Denar,MKD,68.94,01/12/2018,31/12/2018
Madagascar,Malagasy Ariary,MGA,4657.55,01/12/2018,31/12/2018
Malawi,Kwacha,MWK,931.64,01/12/2018,31/12/2018
Malaysia,Ringgit,MYR,5.3597,01/12/2018,31/12/2018
Maldive Islands,Rufiyaa,MVR,19.75,01/12/2018,31/12/2018
Mali Republic,CFA Franc,XOF,735.62,01/12/2018,31/12/2018
Mauritania,Ouguiya,MRO,456.55,01/12/2018,31/12/2018
Mauritius,Rupee,MUR,43.95,01/12/2018,31/12/2018
Mexico,Mexican Peso,MXN,25.83,01/12/2018,31/12/2018
Moldova,Leu,MDL,21.89,01/12/2018,31/12/2018
Mongolia,Tugrik,MNT,3296.7,01/12/2018,31/12/2018
Montserrat,E Caribbean Dollar,XCD,3.45,01/12/2018,31/12/2018
Morocco,Dirham,MAD,12.12,01/12/2018,31/12/2018
Mozambique,Metical,MZN,78.48,01/12/2018,31/12/2018
Myanmar,Kyat,MMK,2041.14,01/12/2018,31/12/2018
Nepal,Rupee,NPR,146.14,01/12/2018,31/12/2018
New Caledonia,CFP Franc,XPF,133.82,01/12/2018,31/12/2018
New Zealand,Dollar,NZD,1.8676,01/12/2018,31/12/2018
Nicaragua,Gold Cordoba,NIO,41.09,01/12/2018,31/12/2018
Niger Republic,CFA Franc,XOF,735.62,01/12/2018,31/12/2018
Nigeria,Naira,NGN,464.47,01/12/2018,31/12/2018
Norway,Norwegian Krone,NOK,10.91,01/12/2018,31/12/2018
Oman,Rial,OMR,0.4919,01/12/2018,31/12/2018
Pakistan,Rupee,PKR,171.19,01/12/2018,31/12/2018
Panama,Balboa,PAB,1.2778,01/12/2018,31/12/2018
Papua New Guinea,Kina,PGK,4.3051,01/12/2018,31/12/2018
Paraguay,Guarani,PYG,7574.58,01/12/2018,31/12/2018
Peru,New Sol,PEN,4.315,01/12/2018,31/12/2018
Philippines,Peso,PHP,66.9,01/12/2018,31/12/2018
Poland,Zloty,PLN,4.8262,01/12/2018,31/12/2018
Qatar,Riyal,QAR,4.6528,01/12/2018,31/12/2018
Romania,New Leu,RON,5.2298,01/12/2018,31/12/2018
Russia,Rouble,RUB,84.16,01/12/2018,31/12/2018
Rwanda,Franc,RWF,1136.6,01/12/2018,31/12/2018
Saotome and Principe,Dobra,STD,27568.4,01/12/2018,31/12/2018
Saudi Arabia,Riyal,SAR,4.7943,01/12/2018,31/12/2018
Senegal,CFA Franc,XOF,735.62,01/12/2018,31/12/2018
Serbia,Dinar,RSD,132.75,01/12/2018,31/12/2018
Seychelles,Rupee,SCR,17.74,01/12/2018,31/12/2018
Sierra Leone,Leone,SLL,10637.61,01/12/2018,31/12/2018
Singapore,Dollar,SGD,1.7537,01/12/2018,31/12/2018
Soloman Islands,Dollar,SBD,10.23,01/12/2018,31/12/2018
Somali Republic,Schilling,SOS,742.39,01/12/2018,31/12/2018
South Africa,Rand,ZAR,17.77,01/12/2018,31/12/2018
South Korea,Won,KRW,1446.07,01/12/2018,31/12/2018
Sri Lanka,Rupee,LKR,228.39,01/12/2018,31/12/2018
St Christopher and Anguilla,E Caribbean Dollar,XCD,3.45,01/12/2018,31/12/2018
St Lucia,E Caribbean Dollar,XCD,3.45,01/12/2018,31/12/2018
St Vincent,E Caribbean Dollar,XCD,3.45,01/12/2018,31/12/2018
Sudan Republic,Pound,SDG,60.84,01/12/2018,31/12/2018
Surinam,Dollar,SRD,9.5298,01/12/2018,31/12/2018
Swaziland,Lilangeni,SZL,17.77,01/12/2018,31/12/2018
Sweden,Krona,SEK,11.56,01/12/2018,31/12/2018
Switzerland,Franc,CHF,1.272,01/12/2018,31/12/2018
Taiwan,Dollar,TWD,39.46,01/12/2018,31/12/2018
Tanzania,Schilling,TZS,2952.97,01/12/2018,31/12/2018
Thailand,Baht,THB,42.13,01/12/2018,31/12/2018
Togo Republic,CFA Franc,XOF,735.62,01/12/2018,31/12/2018
Tonga Islands,Pa'anga (AUS),TOP,1.7594,01/12/2018,31/12/2018
Trinidad/Tobago,Dollar,TTD,8.623,01/12/2018,31/12/2018
Tunisia,Dinar,TND,3.7235,01/12/2018,31/12/2018
Turkey,Turkish  Lira,TRY,6.792,01/12/2018,31/12/2018
Turkmenistan,New Manat,TMT,4.4723,01/12/2018,31/12/2018
UAE,Dirham,AED,4.6934,01/12/2018,31/12/2018
Uganda,Schilling,UGX,4753.38,01/12/2018,31/12/2018
Ukraine,Hryvnia,UAH,35.42,01/12/2018,31/12/2018
